english;french;level;frequency;type
an iceberg;un iceberg;B2;3
an idea;une idée;A2;9
an idol;une idole;B2;2
an igloo;un igloo;A2;4
an iguana;un iguane;B2;3
an illusion;une illusion;B2;4
an image;une image;A2;10
an inch;un pouce;B1;5
an infection;une infection;B1;6
an inmate;un détenu;C1;2
an inspector;un inspecteur;B2;5
an instructor;un instructeur;B2;4
an instrument;un instrument;A2;8
an intake;une admission;B2;3
an intersection;une intersection;B2;5
an interview;un entretien;B1;7
an investor;un investisseur;B2;4
an invitation;une invitation;A2;8
an invoice;une facture;B1;6
an iris;une iris;B2;2
an iron;un fer à repasser;A2;7
an island;une île;A2;8
an issue;une question/problématique;B2;9
an item;un article/objet;B1;8
an itinerary;un itinéraire;B2;4
an ivory;de l'ivoire;C1;2
an ivy;du lierre;B2;3
