english;french;level;frequency
handsome;beau;B1;6
happy;heureux;A2;9
hard;dur;A2;8
harsh;sévère;C1;4
hasty;précipité;C1;2
healthy;sain;B1;7
heavenly;céleste;C2;2
heavy;lourd;A2;8
helpful;utile;B1;7
heroic;héroïque;C1;3
hidden;caché;B2;5
high;haut;A2;9
hilarious;hilare;B2;4
hollow;creux;B2;4
honest;honnête;B1;8
honorable;honorable;C1;3
hopeful;optimiste;B1;6
horrible;horrible;B1;7
hostile;hostile;C1;4
hot;chaud;A1;9
huge;énorme;B2;8
humorous;amusant;B2;6
hungry;affamé;A2;7
hurtful;blessant;C1;4
husky;râpeux;B2;3
