english;french;level;frequency
Quaint;Charmant;B1;4
Quaintest;Le plus charmant;B2;2
Qualified;Qualifié;B2;5
Quality;Qualité;A2;8
Quantifiable;Quantifiable;C1;3
Quarrelsome;Quarrelsome;C1;4
Quasi;Quasi;B2;5
Quasi-independent;Quasi-indépendant;B2;3
Quasi-intellectual;Quasi-intellectuel;C1;2
Quasi-internal;Quasi-interne;C1;2
Quasi-invisible;Quasi-invisible;C1;3
Quasi-irregular;Quasi-irrégulier;B2;2
Quasi-journalistic;Quasi-journalistique;C1;2
Quasi-judicial;Quasi-judiciaire;C1;2
Quasi-judicially;Quasi-judiciairement;C1;1
Quasi-juridical;Quasi-juridique;C2;2
Quasi-legal;Quasi-légal;C2;3
Quasi-legislative;Quasi-législatif;C2;2
Quasi-logical;Quasi-logique;C2;3
Quasi-magical;Quasi-magique;C2;2
Quasi-medical;Quasi-médical;C1;3
Quasi-metaphysical;Quasi-métaphysique;C2;2
Quasi-military;Quasi-militaire;B2;4
Quasi-official;Quasi-officiel;B2;5
Quasi-permanent;Quasi-permanent;B2;6
Quasi-political;Quasi-politique;C1;3
Quasi-public;Quasi-public;B2;4
Quasi-religious;Quasi-religieux;C1;3
Quasi-scientific;Quasi-scientifique;C1;3
Quasi-social;Quasi-social;B2;4
Quasi-sovereign;Quasi-souverain;C1;2
Quasi-technical;Quasi-technique;B2;3
Quasi-territorial;Quasi-territorial;C1;2
Quasi-totalitarian;Quasi-totalitaire;C1;2
Quasi-unanimous;Quasi-unanime;C2;2
Quasi-unique;Quasi-unique;C1;3
Quasi-universal;Quasi-universel;C1;2
Quenchless;Inextinguible;C2;1
Questionable;Douteux;B2;6
Quick;Rapide;A2;10
Quicksilver;vif-argent;C1;2
Quiet;calme;A2;8
Quintessential;quintessentiel;C1;3
Quirky;excentrique;B2;5
Quivering;tremblant;C1;4
Quixotic;Quixotique;C1;3
Quotable;Citable;B2;5
