english;french;level;frequency;type
Tactfully;Avec tact;B2;5;Manner
Tactically;Tactiquement;B2;6;Manner
Tastefully;Avec goût;B2;6;Manner
Temporarily;Temporairement;B2;8;Time
Tender-heartedly;Avec tendresse;C1;3;Manner
Tenderly;Tendrement;B1;4;manner
Tentatively;Avec hésitation;B2;3;manner
Terribly;Terriblement;B1;6;degree
Thoroughly;Complètement;B2;7;manner
Thoughtfully;Avec réflexion;B2;5;manner
Thus;Ainsi;B2;6;Manner
Tightly;Fermement;B2;4;Manner
Tirelessly;Inlassablement;C1;3;Manner
Today;Aujourd'hui;A1;10;Time
Together;Ensemble;A2;9;Manner
Tomorrow;Demain;A1;5;Time
Tomorrow's;De demain;A2;3;Time
Tonight;Ce soir;A1;7;Time
Tremendously;Énormément;C1;4;Degree
Truly;Vraiment;B2;8;Manner
