english;french;level;frequency;type
Garrulously;Loquacement;C1;3;Manner
Generally;Généralement;A2;10;Frequency
Generously;Généreusement;B1;7;Manner
Gently;Douceument;A2;9;Manner
Ghoulishly;De manière macabre;C1;2;Manner
Giddily;étourdiment;B2;3;manner
Gladly;volontiers;B1;7;manner
Gleefully;joyeusement;C1;4;manner
Gloriously;glorieusement;C1;5;manner
Gracefully;gracieusement;B2;6;manner
Gradually;Progressivement;B2;7;Manner
Gratefully;Reconnaissamment;B2;5;Manner
Greatly;Grandement;B2;7;Degree
Gregariously;Sociablement;C1;3;Manner
Grimly;Sévèrement;C1;4;Manner
Grudgingly;à contrecœur;B2;5;manner
Guiltily;coupablement;B2;4;manner
