english;french;level;frequency
ubiquitous;omniprésent;C1;7
ugly;laid;B1;6
ultimate;ultime;B2;6
ultra;ultra;B2;5
unable;incapable;B2;5
unacceptable;inacceptable;B2;5
unadvised;déconseillé;C1;2
unafraid;sans peur;B2;3
unanimous;unanime;C1;5
unarmed;désarmé;C1;4
unaware;inconscient;B2;5
unbalanced;déséquilibré;B2;4
unbearable;insupportable;B2;6
unbeatable;imbattable;B2;4
unbelievable;incroyable;B2;6
unbiased;impartial;C1;4
uncommon;peu commun;B2;5
unconscious;inconscient;B2;5
uncooperative;peu coopératif;C1;3
uncountable;incalculable;B2;4
uncovered;découvert;B2;5
uncut;non coupé;B2;3
undamaged;non endommagé;B2;4
undaunted;indomptable;C1;2
undecided;indécis;B2;4
undefined;indéfini;B2;3
underground;souterrain;B2;6
understated;sobre;C1;3
undesirable;indésirable;B2;5
undisputed;incontesté;C1;3
undivided;indivisible;C1;5
unending;interminable;C1;4
unforgettable;inoubliable;B2;5
unfortunate;malheureux;B2;6
unhappy;malheureux;A2;7
unhealthy;malsain;B2;5
unholy;impie;C1;3
unified;unifié;B2;5
unique;unique;B2;8
united;uni;B1;7
universal;universel;B2;6
unkempt;négligé;C1;2
unknown;inconnu;A2;8
unlawful;illégal;B2;4
unlike;différent;B1;6
unlikely;improbable;B1;6
unlimited;illimité;B2;5
unlucky;malchanceux;B1;5
unmistakable;incontestable;C1;3
unnatural;contre nature;B2;4
unpleasant;désagréable;B2;6
unpredictable;imprévisible;B2;5
unreasonable;déraisonnable;B2;5
unruly;indiscipliné;C1;3
unsightly;peu esthétique;C1;2
unstable;instable;B2;6
unsuccessful;sans succès;B2;5
unsuitable;inadapté;B2;5
unsure;incertain;B1;6
untidy;désordonné;B1;6
unusual;insolite;B2;5
unwanted;indésirable;B2;4
unwilling;réticent;B2;4
upbeat;optimiste;B2;5
uplifting;revitalisant;C1;3
upper;supérieur;B2;5
upset;contrarié;B1;6
uptight;tendu;C1;2
urban;urbain;B1;7
usable;utilisable;B2;5
used;utilisé;B1;7
useful;utile;B1;8
useless;inutile;B2;6
usual;habituel;A2;8
utmost;extrême;C1;4
utter;absolu;C1;5
