english;french;level;frequency;type
painfully;douloureusement;B2;5;manner
partially;partiellement;B1;6;degree
particularly;particulièrement;B1;7;manner
passionately;passionnément;B2;5;manner
patiently;patiemment;A2;7;manner
peacefully;paisiblement;B1;4;manner
perfectly;parfaitement;B2;7;degree
physically;physiquement;B1;6;manner
playfully;joueusement;B2;3;manner
politely;poliment;A2;8;manner
poorly;mal;B2;5;manner
positively;positivement;B2;6;manner
powerfully;puissamment;B2;6;manner
precisely;précisément;B2;7;degree
profusely;abondamment;C1;4;manner
promptly;promptement;B2;6;manner
properly;correctement;B2;7;manner
proudly;fièrement;B2;6;manner
publicly;publiquement;B2;8;manner
purposely;intentionnellement;C1;4;manner
