english;french;level;frequency
Gamy;Giboyeux;B2;2
Gargantuan;Gargantuesque;C2;4
Gaseous;Gazeux;B2;3
Gentle;Doux;B1;6
Genuine;Authentique;B2;7
Ghostly;Spectral;B2;3
Ghoulish;Macabre;C1;2
Giddy;Etourdi;B1;4
Giggly;Rieur;B2;3
Glittery;Scintillant;B2;5
Glorious;Glorieux/Glorieuse;B2;7
Glowing;Rayonnant/Rayonnante;B2;6
Gnarly;Gnarlé/Gnarlée;C1;2
Godly;Divin/Divine;B2;4
Golden;Doré/Dorée;A2;8
Good;Bon(ne);A2;10
Gooey;Collant(e);B2;3
Gorgeous;Magnifique;B2;8
Gossipy;Commérageur(euse);C1;4
Gothic;Gothique;B2;5
Graceful;Gracieux/gracieuse;B2;4
Gracious;Gracieux/gracieuse;C1;3
Grand;Grand;A2;9
Grassy;Herbeux/herbeuse;B2;2
Grateful;Reconnaissant(e);B2;5
Grating;Râpeux;B2;4
Gravel;Gravier;A2;5
Gravelly;Graveleux;C1;3
Gravely;Gravement;B2;4
Great;Génial;A2;10
Greedy;Avide;B2;5
Greek;Grec;A2;3
Green;Vert;A1;10
Greenish;Verdâtre;B2;2
Grey;Gris;A1;8
Grisly;Horrible;C1;4
Gritty;Granuleux;B2;5
Grizzly;Grizzly;B2;3
Groggy;Étourdi;B2;4
Groovy;Cool;B2;6
Grubby;sale;B1;4
Grumpy;grognon;B2;6
Grungy;crasseux;B2;3
Guilty;coupable;B2;7
Gullible;crédule;C1;5
Gummy;gommeux;B1;3
