english;french;level;frequency;type;info
to calculate;calculer;B2;6
to call;appeler;A2;8
to carry;porter;A2;7
to catch;attraper;A2;7
to change;changer;A2;9
to chat;discuter;B1;4
to check;vérifier;B1;7
to cheer;encourager;B2;3
to chew;mâcher;A2;4
to choose;choisir;A2;9
to clap;applaudir;B1;5
to classify;classer;B2;4
to clean;nettoyer;A1;8
to climb;grimper;B1;6
to close;fermer;A1;9
to coach;entraîner;B2;5
to coil;enrouler;C1;2
to collect;collecter;B2;4
to color;colorier;A2;5
to comb;peigner;A2;6
to comfort;réconforter;B1;5
to command;commander;B2;6
to communicate;communiquer;A2;8
to compare;comparer;A2;7
to compete;concurrencer;B2;5
to complete;compléter;A2;7
to compose;composer;B2;5
to compute;calculer;B2;4
to concentrate;concentrer;B1;6
to conclude;conclure;B2;6
to conduct;conduire;B2;6
to confess;confesser;B2;3
to confuse;confondre;B2;5
to connect;connecter;B1;6
to consider;considérer;B2;7
to consist;consister;B2;4
to construct;construire;B1;6
to consume;consommer;B1;5
to contain;contenir;B1;6
to continue;continuer;A2;8
to cook;cuisiner;A2;7
to copy;copier;A2;6
to correct;corriger;B1;6
to correspond;correspondre;B1;5
to count;compter;A2;7
to cover;couvrir;A2;6
to crack;craquer;B2;3
to create;créer;A2;6
to cross;traverser;A2;6
to cry;pleurer;A2;6
