english;french;level;frequency;type;info
to sail;naviguer;B2;4;ACTION;REGULAR
to satisfy;satisfaire;B1;6;ACTION;REGULAR
to scratch;gratter;A2;5;ACTION;REGULAR
to search;chercher;A2;8;ACTION;REGULAR
to seize;saisir;B2;4;ACTION;REGULAR
to select;sélectionner;B2;6;ACTION;REGULAR
to serve;servir;A2;8;ACTION;REGULAR
to settle;régler;B2;5;ACTION;REGULAR
to shape;façonner;B2;4;ACTION;REGULAR
to share;partager;A2;8;ACTION;REGULAR
to shatter;briser;B2;4;ACTION;REGULAR
to shave;raser;B1;5;ACTION;REGULAR
to shelter;abriter;B2;3;STATE;REGULAR
to shift;déplacer;B2;6;ACTION;REGULAR
to shiver;frissonner;B2;3;STATE;REGULAR
to shock;choquer;B2;5;ACTION;REGULAR
to shoot;tirer;B1;6;ACTION;IRREGULAR
to shop;faire les magasins;A2;4;ACTION;REGULAR
to shout;crier;A2;5;ACTION;REGULAR
to show;montrer;A1;9;ACTION;IRREGULAR
to shrink;rétrécir;B2;4;ACTION;REGULAR
to shrug;hausser les épaules;B2;5;ACTION;REGULAR
to shudder;frissonner;B2;3;STATE;REGULAR
to shuffle;traîner les pieds;B2;4;ACTION;REGULAR
to sigh;soupirer;B2;5;STATE;REGULAR
to signal;signaler;B2;6;ACTION;REGULAR
to simplify;simplifier;B2;5;ACTION;REGULAR
to simulate;simuler;B2;5;ACTION;REGULAR
to sin;pécher;B2;4;STATE;IRREGULAR
to sing;chanter;A1;9;ACTION;IRREGULAR
to sip;siroter;B1;4;ACTION;REGULAR
to sit;s'asseoir;A1;9;STATE;IRREGULAR
to sketch;esquisser;B2;3;ACTION;REGULAR
to ski;skier;A2;7;ACTION;REGULAR
to skip;sauter;A2;6;ACTION;REGULAR
to slap;gifler;B1;4;ACTION;REGULAR
to sleep;dormir;A1;10;STATE;IRREGULAR
to slice;trancher;B2;5;ACTION;REGULAR
to slide;glisser;B1;6;ACTION;REGULAR
to slip;glisser;B1;6;STATE;IRREGULAR
to smell;sentir-odorat;A2;6;STATE;REGULAR
to smile;sourire;A2;7;ACTION;REGULAR
to smoke;fumer;A2;8;ACTION;REGULAR
to snap;claquer;B2;4;ACTION;REGULAR
to snatch;arracher;C1;3;ACTION;REGULAR
to sneak;se faufiler;B2;4;ACTION;REGULAR
to sneeze;éternuer;A2;6;ACTION;REGULAR
