english;french;level;frequency;type
an eagle;un aigle;B2;4;CONCRETE
an earring;une boucle d'oreille;A2;5;CONCRETE
an echo;un écho;B2;3;ABSTRACT
an eddy;un tourbillon;C1;2;CONCRETE
an editor;un éditeur;B2;6;CONCRETE
an education;une éducation;B2;7;ABSTRACT
an effect;un effet;B2;8;ABSTRACT
an effort;un effort;B2;8;ABSTRACT
an egg;un œuf;A1;9;CONCRETE
an eggplant;une aubergine;A2;4;CONCRETE
an elbow;un coude;A2;6;CONCRETE
an elder;un aîné;B2;4;ABSTRACT
an electrician;un électricien;A2;5;CONCRETE
an electron;un électron;B2;5;CONCRETE
an elegance;une élégance;C1;3;ABSTRACT
an elephant;un éléphant;A2;7;CONCRETE
an elf;un lutin;A2;3;CONCRETE
an elk;un élan;B2;4;CONCRETE
an emerald;un émeraude;B2;3;CONCRETE
an emotion;une émotion;A2;8;ABSTRACT
an emperor;un empereur;C1;3;CONCRETE
an empire;un empire;B2;5;CONCRETE
an employee;un employé;A2;7;CONCRETE
an employer;un employeur;B2;4;CONCRETE
an employment;un emploi;B1;8;ABSTRACT
an enclosure;une enceinte;B2;4;CONCRETE
an end;une fin;A2;8;CONCRETE
an endocrinologist;un endocrinologue;C1;1;CONCRETE
an endurance;une endurance;B2;5;ABSTRACT
an enemy;un ennemi;A2;8;CONCRETE
an energy;une énergie;B2;8;ABSTRACT
an engagement;un engagement;B2;7;ABSTRACT
an engine;un moteur;B1;9;CONCRETE
an engineer;un ingénieur;B1;8;CONCRETE
an enjoyment;un plaisir;B2;6;ABSTRACT
an enlargement;un agrandissement;B2;3;CONCRETE
an entrance;une entrée;A2;7;CONCRETE
an envelope;une enveloppe;A2;8;CONCRETE
an environment;un environnement;B2;9;ABSTRACT
an enzyme;une enzyme;B2;4;CONCRETE
an epic;une épopée;C1;5;ABSTRACT
an episode;un épisode;B2;7;ABSTRACT
an equality;une égalité;B2;5;ABSTRACT
an equation;une équation;B2;8;ABSTRACT
an equipment;un équipement;B1;9;CONCRETE
an era;une ère;B2;5;ABSTRACT
an error;une erreur;A2;8;ABSTRACT
an eruption;une éruption;B2;3;CONCRETE
an escalator;un escalator;A2;6;CONCRETE
an essay;une dissertation;B2;5;ABSTRACT
an essence;une essence;C1;4;ABSTRACT
an establishment;un établissement;B2;7;CONCRETE
an estate;un domaine;B2;5;CONCRETE
an estimate;une estimation;B2;6;ABSTRACT
an ethics;une éthique;C1;4;ABSTRACT
an event;un événement;B2;7;CONCRETE
an evidence;une preuve;B2;6;CONCRETE
an evolution;une évolution;B2;5;ABSTRACT
an examination;un examen;B2;8;CONCRETE
an example;un exemple;A2;10;CONCRETE
an excess;un excès;B2;5;ABSTRACT
an exchange;un échange;A2;8;CONCRETE
an excitement;une excitation;B2;3;ABSTRACT
an exclusion;une exclusion;B2;4;ABSTRACT
an excuse;une excuse;A2;9;ABSTRACT
an execution;une exécution;C1;5;CONCRETE
an executive;un cadre;B2;6;CONCRETE
an exercise;un exercice;A2;8;CONCRETE
an exhaust;un échappement;B2;4;CONCRETE
an exhibition;une exposition;B1;7;CONCRETE
an existence;une existence;B2;5;ABSTRACT
an exit;une sortie;A2;7;CONCRETE
an expansion;une expansion;B2;4;ABSTRACT
an expectation;une attente;B2;6;ABSTRACT
an experience;une expérience;B1;10;CONCRETE
an experiment;une expérience;B2;5;CONCRETE
an expert;un expert;C1;6;CONCRETE
an explanation;une explication;B1;7;CONCRETE
an explosion;une explosion;B2;4;CONCRETE
an exponent;un exposant;B2;3;CONCRETE
an export;une exportation;B2;6;CONCRETE
an exposure;une exposition;B2;5;CONCRETE
an expression;une expression;B1;8;ABSTRACT
an extension;une extension;B2;7;CONCRETE
an extent;une ampleur;B2;6;ABSTRACT
an extraction;une extraction;B2;5;CONCRETE
an eye;un œil;A2;10;CONCRETE
an eyebrow;un sourcil;A2;7;CONCRETE
an eyelash;un cil;B2;4;CONCRETE
an eyelid;une paupière;B1;6;CONCRETE
eyesight;vue;B2;4;ABSTRACT
