english;french;level;frequency;type
Faintly;Légèrement;B1;4;Manner
Famously;Célèbrement;C1;5;Manner
Far;Loin;A1;8;Place
Fast;Vite;A2;10;Manner
Fatally;Fatalement;C1;3;Manner
Fearfully;Craintivement;B2;4;Manner
Ferociously;Féroce;C1;3;Manner
Fiercely;Fièrement;B2;4;Manner
Finally;Finalement;B1;8;Time
Financially;Financièrement;B2;6;Degree
Fine;Bien;B2;5;Manner
Firmly;Fermement;B2;6;Manner
First;Premier;A2;8;Time
Firstly;Tout d'abord;B2;4;Time
Fondly;Affectueusement;B2;3;Manner
Forcibly;De force;B2;4;Manner
Forever;Pour toujours;B1;5;Time
Fortunately;Heureusement;B2;6;Manner
Forward;En avant;A2;7;Place
Frequently;Fréquemment;B1;8;Frequency
