english;french;level;frequency;type;info
to unbolt;déverrouiller;B2;3
to unclasp;détacher;C1;2
to uncoil;dérouler;C1;2
to uncover;découvrir;B2;4
to understand;comprendre;A2;10
to unearth;déterrer;C1;1
to unfasten;défaire;B2;3
to unify;unifier;C1;3
to unite;unir;B2;5
to unlace;délasser;C1;1
to unlearn;désapprendre;B2;3
to unleash;libérer;C1;4
to unload;décharger;B2;4
to unlock;déverrouiller;A2;6
to unmake;défaire;C1;2
to unmask;démasquer;B2;4
to unpick;découdre;C1;2
to unplug;débrancher;B2;5
to unravel;démêler;C1;3
to unroll;dérouler;A2;6
to unscramble;démêler;B2;3
to unscrew;dévisser;B1;4
to unseal;désceller;C1;2
to unstick;décoller;B1;4
to untangle;démêler;B1;4
to untie;défaire;A2;5
to unveil;dévoiler;B2;3
to unwind;se détendre;B2;3
to unzip;décompresser;B1;4
to update;mettre à jour;B1;5
to upgrade;améliorer;B2;6
to uplift;élever;C1;2
to upset;contrarier;B2;5
to urge;exhorter;C1;4
to use;utiliser;A1;10
to usher;mener;C1;3
to utilize;utiliser;B2;6
