english;french;level;frequency
vague;vague;B2;5
vain;vain;B2;4
valiant;vaillant;C1;2
valid;valide;B2;6
valuable;précieux;B2;5
vapid;insipide;C1;4
variable;variable;B2;6
various;divers;B1;8
vast;vaste;B2;7
vaulting;en ogive;C2;2
veiled;voilé(e);B2;5
velvety;velouté(e);B2;3
vengeful;revanchard(e);C1;2
venomous;venimeux/venimeuse;B2;4
veracious;véridique;C2;2
verdant;verdoyant;B2;4
verifiable;vérifiable;B2;5
veritable;véritable;B2;5
versatile;polyvalent;B2;5
vibrant;vibrant;B2;6
vicious;féroce;C1;6
vigilant;vigilant;B2;5
vigorous;vigoureux;C1;5
vile;vil;B2;5
villainous;méchant;C1;4
vintage;vintage;B2;5
violent;violent;B2;6
violet;violet;B2;5
virtual;virtuel(le);B2;6
virtuous;vertueux/vertueuse;C1;3
visible;visible;B1;7
visionary;visionnaire;C1;4
vital;vital;B2;6
vivacious;vivace;C1;3
vivid;vif/vive;B2;7
vocal;vocal;B2;6
volatile;volatil;C1;5
volcanic;volcanique;B2;4
voluptuous;voluptueux;C2;3
voracious;vorace;C1;4
vulnerable;vulnérable;B2;6
vying;en compétition;C1;3
