english;french;level;frequency;type
a gadget;un gadget;B1;7;CONCRETE
a galaxy;une galaxie;B2;5;CONCRETE
a gale;une tempête;B2;3;CONCRETE
a gallery;une galerie;B2;6;CONCRETE
a gang;un gang;B2;5;CONCRETE
a garbage;un déchet;A2;8;CONCRETE
a garden;un jardin;A1;9;CONCRETE
a gasoline;de l'essence;B2;5;CONCRETE
a gate;un portail;A2;7;CONCRETE
a gazebo;un gazebo;C1;2;CONCRETE
a gearbox;une boîte de vitesses;B1;5;CONCRETE
a gecko;un gecko;B2;2;CONCRETE
a gem;un joyau;B2;4;CONCRETE
a gene;un gène;B2;6;ABSTRACT
a generation;une génération;B1;8;ABSTRACT
a generosity;une générosité;B2;4;ABSTRACT
a genius;un génie;B2;5;CONCRETE
a geography;une géographie;B1;3;ABSTRACT
a geometry;une géométrie;B1;4;ABSTRACT
a germ;un germe;B2;3;CONCRETE
a gesture;un geste;B2;6;CONCRETE
a ghost;un fantôme;B2;4;CONCRETE
a ghostwriter;un nègre;C1;2;CONCRETE
a giant;un géant;A2;5;CONCRETE
a gift;un cadeau;A1;9;CONCRETE
a gift-wrap;un emballage-cadeau;A2;3;CONCRETE
a gigabyte;un gigaoctet;B2;8;ABSTRACT
a ginger;un gingembre;B1;4;CONCRETE
a gingerbread;un pain d'épices;A2;2;CONCRETE
a giraffe;une girafe;A2;5;CONCRETE
a girl;une fille;A1;9;CONCRETE
a girlfriend;une petite amie;A2;6;CONCRETE
a glacier;un glacier;B2;3;CONCRETE
a glamour;un charme;C1;2;ABSTRACT
a glass;un verre;A1;10;CONCRETE
a globe;un globe;A2;6;CONCRETE
a glory;une gloire;B2;3;ABSTRACT
a glove;un gant;A2;7;CONCRETE
a glue;une colle;A2;6;CONCRETE
a goal;un but;A2;8;CONCRETE
a goat;une chèvre;A2;5;CONCRETE
a goddess;une déesse;B2;3;ABSTRACT
a gold;un or;B2;6;CONCRETE
a goldfish;un poisson rouge;A2;4;CONCRETE
a golf;un golf;B2;4;CONCRETE
a good;un bon;B2;9;ABSTRACT
a goose;une oie;A2;5;CONCRETE
a gorilla;un gorille;B2;3;CONCRETE
a gospel;un évangile;B2;4;ABSTRACT
a gossip;un commérage;B2;6;ABSTRACT
a government;un gouvernement;B2;8;CONCRETE
a gown;une robe de soirée;B2;4;CONCRETE
a grace;une grâce;C1;3;ABSTRACT
a grade;une note;B2;7;ABSTRACT
a gradient;un gradient;B2;5;CONCRETE
a graduate;un diplômé;B2;6;CONCRETE
a graffiti;un graffiti;B2;4;CONCRETE
a grain;un grain;A2;7;CONCRETE
a gram;un gramme;A2;5;CONCRETE
a grammar;une grammaire;B1;8;ABSTRACT
a grandchild;un petit-enfant;A2;4;CONCRETE
a grandfather;un grand-père;A1;7;CONCRETE
a grandmother;une grand-mère;A1;7;CONCRETE
a grandson;un petit-fils;A2;4;CONCRETE
a grape;un raisin;A2;6;CONCRETE
a grapefruit;un pamplemousse;A2;4;CONCRETE
a graph;un graphique;B2;6;CONCRETE
a grass;une herbe;A2;5;CONCRETE
a gratitude;une gratitude;C1;2;ABSTRACT
a grave;une tombe;B2;4;CONCRETE
a gravel;un gravier;A2;5;CONCRETE
a gravity;une gravité;B2;6;ABSTRACT
a gray;un gris;A2;7;CONCRETE
a grease;une graisse;B2;4;CONCRETE
a greatcoat;un grand manteau;C1;3;CONCRETE
a greed;une avidité;C1;3;ABSTRACT
a green;un vert;A2;8;CONCRETE
a greenhouse;une serre;B2;5;CONCRETE
a greeting;une salutation;A2;7;ABSTRACT
a greyhound;un lévrier;B2;3;CONCRETE
a grid;une grille;B2;5;CONCRETE
a grief;un chagrin;B2;4;ABSTRACT
a grill;un grill;B2;5;CONCRETE
a grip;une prise;B2;5;CONCRETE
a grocery;une épicerie;A2;8;CONCRETE
a ground;un terrain;A2;6;CONCRETE
a group;un groupe;A1;10;ABSTRACT
a growth;une croissance;B2;4;ABSTRACT
a guarantee;une garantie;B2;5;ABSTRACT
a guard;un garde;B2;6;CONCRETE
a guess;une supposition;B2;5;ABSTRACT
a guest;un invité;A2;7;CONCRETE
a guidance;un conseil;B2;4;ABSTRACT
a guide;un guide;B1;8;CONCRETE
a guinea;un cobaye;B2;3;CONCRETE
a guitar;une guitare;B1;6;CONCRETE
a gulf;un golfe;C1;2;CONCRETE
a gum;un chewing-gum;A2;4;CONCRETE
a gun;un pistolet;B2;5;CONCRETE
a guru;un gourou;C1;3;ABSTRACT
guy;homme;A1;5;CONCRETE
