english;french;level;frequency
Icy;Glacial;B2;4
Idealistic;Idéaliste;B2;5
Idiosyncratic;Idiosyncrasique;C1;3
Idyllic;Idyllique;B2;4
Illustrious;Illustre;C1;3
Imaginative;Imaginatif;B2;5
Immaculate;Immaculé;C1;2
Immeasurable;Incommensurable;C2;2
Immediate;Immédiat;B1;7
Immense;Immense;B2;6
Impartial;Impartial(e);C1;6
Inclusive;Inclusif/Inclusive;B2;5
Incomparable;Incomparable;C1;4
Incredible;Incroyable;B1;6
Inexpensive;Peu coûteux/Abordable;B2;5
Infinite;Infini;C1;4
Influential;Influent;C1;5
Informed;Informé;B2;6
Ingenious;Ingénieux;C1;4
Inherent;Inhérent;C1;5
Inimitable;Inimitable;C1;3
Innocent;Innocent;B2;6
Innocuous;Inoffensif;C1;2
Innovative;Innovant;B2;7
Inquisitive;Curieux;B2;5
Inquisitorial;Inquisitorial;C2;1
Inscrutable;Impénétrable;C1;3
Insecure;Insécurisé;B2;5
Insightful;Perspicace;C1;4
Insistent;Insistant;B2;6
Inspirational;Inspirant;C1;6
Inspiring;Inspirant;B2;7
Instructive;Instructif;B2;5
Insurmountable;Insurmontable;C2;2
Intelligent;Intelligent;B2;8
Intense;Intense;B2;7
Interesting;Intéressant;B1;9
Intrepid;Intrépide;C1;3
Intriguing;Intrigant;C1;4
Inventive;Inventif;B2;5
Invigorating;Revigorant;B2;5
Invincible;Invincible;C1;6
Invisible;Invisible;A2;6
Inviting;Invitant;B1;5
Irascible;Irritable;C2;3
Irate;Irrité;C1;4
Ironic;Ironique;B2;5
Irresistible;Irrésistible;B2;5
Irresponsible;Irresponsable;B2;4
Irritating;Irritant;B2;5
