english;french;level;frequency;type
Kaleidoscope;Kaléidoscope;B2;3
Kangaroo;Kangourou;A2;3
Karaoke;Karaoké;A2;4
Karma;Karma;B2;4
Kayak;Kayak;A2;5
Kebab;Kebab;A2;6
Keel;Quille;B2;2
Keenness;Acuité;C1;1
Keep;Garder;A2;8
Keeper;Gardien;B2;5
Kernel;Noyau;B2;5
Ketchup;Ketchup;A2;8
Kettle;Bouilloire;A2;7
Kettlebell;Kettlebell;B2;2
Key;Clé;A2;10
Keyboard;Clavier;A2;8
Keynote;Note clé;B2;3
Keypad;Clavier numérique;B1;4
Keystone;Clé de voûte;C1;2
Khaki;Kaki;B2;4
Kibble;Croquettes;A2;4
Kibbutz;Kibboutz;B2;3
Kick;Coup de pied;A2;8
Kicker;Botteur;B1;3
Kidnapper;Kidnappeur;B2;3
Kidnapping;Enlèvement;B2;4
Kidney;Rein;B2;5
Killdeer;Pluvier kildir;B2;1
Killer;Tueur;B2;6
Killing;Meurtre;B2;6
Kiln;Four;B2;3
Kilogram;Kilogramme;A2;8
Kilometer;Kilomètre;A2;8
Kilt;Kilt;B2;3
Kimono;Kimono;B1;4
Kindergarten;Jardin d'enfants;A2;5
Kinematics;Cinématique;C1;2
Kinetic;Cinétique;B2;4
King;Roi;A2;8
Kingfisher;Martin-pêcheur;B2;2
Kingpin;Le parrain;C1;3
Kingship;La royauté;B2;2
Kinship;La parenté;B2;3
Kiosk;Le kiosque;A2;5
Kiss;Le baiser;A2;7
Kit;Le kit;A2;6
Kitchen;La cuisine;A1;10
Kitchenware;Les ustensiles de cuisine;B2;3
Kite;Le cerf-volant;A2;5
Kiteboarding;Le kitesurf;B2;1
Kitsch;Kitsch;B2;4
Kitten;Chaton;A1;6
Kittiwake;Mouette tridactyle;C1;1
Kitty;Minou;A2;5
Kiwi;Kiwi;B2;5
Kiwifruit;Kiwi;B2;3
Kleenex;Mouchoir en papier;B2;4
Knapsack;Sac à dos;A2;3
Knead;Pétrir;B2;3
Kneading;Pétrissage;C1;2
Kneecap;Rotule;B1;3
Kneeler;Prie-Dieu;B2;2
Kneepad;Genouillère;B2;4
Knickknack;Babiole;C1;2
Knife;Couteau;A2;9
Knife-edge;Tranchant;C1;1
Knight;Chevalier;B2;5
Knight-errant;Chevalier Errant;C1;1
Knighthood;Chevalerie;C1;2
Knitwear;Tricot;B2;4
Knob;Bouton;B1;5
Knobkerrie;Massue;C1;1
Knock;Coup;B2;6
Knockout;K.-O.;C1;3
Knot;Noeud;B1;7
Knotting;Nouage;C1;2
Knotweed;Renouée;C1;1
Knowledge;Connaissance;B2;10
Knurl;Cannelure;C1;1
Knurling;Cannelage;C1;1
Koala;Koala;A2;5
Koi;Carpe Koï;A2;3
Komodo;Komodo;B2;2
Krypton;Krypton;C1;1
Kryptonite;Kryptonite;C1;1
Kubotan;Kubotan;C2;1
Kudzu;Kudzu;B2;1
Kumquat;Kumquat;B2;2
Kung-fu;Kung-fu;A2;5
Kush;Kush;C1;1
Kwanzaa;Kwanzaa;A2;4
Kyat;Kyat;A2;2
Kymograph;Kymographe;C1;1
Kyrie;Kyrie;B2;3
