english;french;level;frequency;type
Tactfully;Avec tact;B2;4
Tastefully;Avec goût;B2;4
Tediously;De manière fastidieuse;B2;3
Temporarily;Temporairement;B1;6
Tenderly;Tendrement;B2;3
Terribly;Terriblement;B1;7
Thankfully;Heureusement;B2;5
Thoroughly;Complètement;B2;7
Thoughtfully;Avec réflexion;B2;4
Thus;Ainsi;B2;7
Tightly;Fermement;B1;5
Today;Aujourd'hui;A1;10
Together;Ensemble;A2;8
Tomorrow;Demain;A1;10
Tonight;Ce soir;A2;7
Tremendously;Énormément;C1;3
Triumphantly;Triomphalement;C1;2
Truly;Vraiment;B2;6
Twice;Deux fois;A2;7
