english;french;level;frequency;type;info
to tackle;s'attaquer à;B2;6
to take;prendre;A1;10
to talk;parler;A1;10
to tango;danser le tango;B2;2
to target;cibler;B2;5
to taste;goûter;A2;7
to taste-test;tester la saveur;C1;3
to tattle;rapporter;B2;2
to teach;enseigner;A2;9
to team;faire équipe;B1;4
to tear;déchirer;B2;5
to tee;mettre sur tee;A2;2
to telecast;diffuser;B2;3
to telecommute;télétravailler;B2;2
to teleconference;téléconférer;B2;3
to telegraph;télégraphier;B2;2
to telemarket;faire du télémarketing;B2;3
to telescope;télescoper;C1;2
to televise;téléviser;B2;5
to tell;dire;A1;10
to tell-off;réprimander;B2;5
to temp;remplacer temporairement;B2;3
to tempt;tenter;B2;5
to tend;avoir tendance à;B2;4
to terminate;mettre fin à;C1;6
to terrify;terrifier;B2;4
to test;tester;B1;8
to test-drive;essayer (une voiture);B2;3
to test-fly;essayer (un avion);B2;2
to testify;témoigner;C1;4
to thank;remercier;B1;6
to thaw;dégeler;B2;4
to theorize;théoriser;C1;2
to thicken;épaissir;B2;3
to thin;mincir;B2;3
to think;penser;A2;10
to think-up;imaginer;B2;2
to thrive;prospérer;C1;3
to throw;jeter;A2;9
to throw-away;jeter;B2;4
to thrust;pousser avec force;B2;5
to thud;faire un bruit sourd;C1;2
to thump;frapper fort;B2;4
to tick;faire tic-tac;B2;3
to tickle;chatouiller;B2;3
to tie;attacher;A2;6
to time;chronométrer;B2;4
to tingle;picoter;C1;2
to tinker;bricoler;C1;2
to travel;voyager;A2;8
to treat;traiter;B2;6
to try;essayer;A2;7
to turn;tourner;A2;8
to type;taper;A2;5
