english;french;level;frequency;type
Hair;Cheveux;A2;9;CONCRETE
Hamburger;Hamburger;A2;8;CONCRETE
Hamster;Hamster;A2;5;CONCRETE
Hand;Main;A1;10;CONCRETE
Harmony;Harmonie;B2;4;ABSTRACT
Hat;Chapeau;A1;7;CONCRETE
Hawk;Faucon;B2;3;CONCRETE
Head;Tête;A2;10;CONCRETE
Health;Santé;B1;8;ABSTRACT
Heart;Cœur;A2;10;CONCRETE
Hemisphere;Hémisphère;B2;5;CONCRETE
Herb;Herbe;A2;6;CONCRETE
Hierarchy;Hiérarchie;B2;4;ABSTRACT
Highlight;Surligner;B2;6;CONCRETE
Highway;Autoroute;A2;8;CONCRETE
Hill;Colline;A2;5;CONCRETE
Hip;Hanche;B2;5;CONCRETE
Hire;Embaucher;B2;4;ABSTRACT
History;Histoire;A2;10;ABSTRACT
Hobby;Passe-temps;A2;7;ABSTRACT
Hold;Tenir;B2;6;CONCRETE
Hole;Trou;A2;8;CONCRETE
Holiday;Vacances;A2;9;CONCRETE
Homelessness;Sans-abri;B2;3;ABSTRACT
Homestead;Domaine;C1;2;CONCRETE
Homily;Homélie;C1;3;ABSTRACT
Homing;Guidage;B2;2;CONCRETE
Homogeneity;Homogénéité;B2;4;ABSTRACT
Honesty;Honnêteté;B2;6;ABSTRACT
Honey;Miel;A2;8;CONCRETE
Honor;Honneur;B2;6;ABSTRACT
Hood;Capuche;B2;4;CONCRETE
Hook;Crochet;B1;5;CONCRETE
Hope;Espoir;B1;7;ABSTRACT
Horizon;Horizon;A2;8;CONCRETE
Horn;Corne;A2;5;CONCRETE
Horror;Horreur;B2;6;ABSTRACT
Horse;Cheval;A1;7;CONCRETE
Hospital;Hôpital;A2;10;CONCRETE
Hospitality;Hospitalité;B2;4;ABSTRACT
Host;Hôte;B2;6;CONCRETE
Hostility;Hostilité;B2;4;ABSTRACT
Hotdog;Hot-dog;A2;3;CONCRETE
Hotel;Hôtel;A2;9;CONCRETE
Hour;Heure;A1;10;CONCRETE
House;Maison;A1;10;CONCRETE
Houseboat;Péniche;B2;3;CONCRETE
Housework;Travaux ménagers;A2;6;ABSTRACT
Housing;Logement;B2;8;CONCRETE
Humidity;Humidité;B1;7;ABSTRACT
Humor;Humour;B2;6;ABSTRACT
Hurdle;Haie-d'obstacles;B2;4;CONCRETE
Hurricane;Ouragan;B2;7;CONCRETE
Husband;Mari;A2;8;CONCRETE
Hush;Chut;B2;3;ABSTRACT
Hustle;Hustle;B2;6;ABSTRACT
Hybrid;Hybride;B2;5;CONCRETE
Hydrogen;Hydrogène;A2;8;CONCRETE
Hypocrisy;Hypocrisie;C1;4;ABSTRACT
Hypothesis;Hypothèse;B2;7;ABSTRACT
Hysteria;Hystérie;C1;3;ABSTRACT
