english;french;level;frequency;type
Yare;Promptly;C1;2
Yarely;Slowly and carefully;C2;1
Yawningly;Boringly;C2;1
Yea;Yes;B2;4
Yearly;Annually;B2;5
Yellingly;Shoutingly;C2;1
Yelpingly;With a yelp;C2;1
Yesterday;Hier;A1;8
Yesterday's;D'hier;A2;4
Yesteryear;Dans le temps;C1;2
Yestreen;Hier soir;B2;1
Yet;Encore;B2;5
Yieldingly;Docilement;C2;1
Yon;Là-bas;B2;3
Yonder;Là-bas;B2;5
Yonderward;Vers là-bas;C2;1
Yore;Jadis;C1;2
Youthfully;Jeunessement;C1;1
Yuppily;Yuppiquement;C2;1
Ywis;Certainement;C2;1
