english;french;level;frequency;type
a badge;un badge;A2;5
a bag;un sac;A1;8
a bakery;une boulangerie;A2;4
a ball;une balle;A1;7
a banana;une banane;A1;9
a bass;une basse;B2;3
a bay;une baie;B2;2
a beach;une plage;A2;6
a beard;une barbe;B1;4
a bed;un lit;A1;9
a beetle;un scarabée;B1;3
a bell;une cloche;A2;4
a bench;un banc;A2;6
a berry;une baie;B2;4
a beverage;une boisson;A2;7
a bib;un bavoir;A1;2
a bike;un vélo;A1;8
a bird;un oiseau;A1;9
a biscuit;un biscuit;A2;6
a blade;une lame;B2;5
a blanket;une couverture;A2;6
a blood;un sang;B2;4
a bloom;une floraison;C1;2
a blouse;un chemisier;B1;5
a board;un tableau;B2;6
a boat;un bateau;A2;8
a body;un corps;A2;9
a bone;un os;A2;8
a book;un livre;A1;10
a bookcase;une bibliothèque;B1;4
a boot;une botte;A2;5
a border;une frontière;B2;6
a bottle;une bouteille;A1;8
a bowl;un bol;A1;7
a box;une boîte;A1;9
a boy;un garçon;A1;10
a brain;un cerveau;B2;5
a brake;un frein;B1;4
a branch;une branche;A2;5
a brass;du laiton;C1;3
a bread;un pain;A2;8
a breakfast;un petit déjeuner;A2;7
a brick;une brique;A2;5
a bride;une mariée;B1;3
a bridge;un pont;A2;8
a broccoli;un brocoli;A2;4
a broom;un balai;A2;4
a brother;un frère;A1;9
a brush;une brosse;A2;7
a bubble;une bulle;A2;4
a bucket;un seau;A2;6
a bud;un bourgeon;B2;3
a buffalo;un buffle;B2;2
a bug;un insecte;A2;5
a building;un bâtiment;A2;10
a bulb;une ampoule;A2;7
a bull;un taureau;B1;4
a bullet;une balle;B2;3
a bun;un petit pain;A2;6
a bus;un bus;A1;10
a bush;un buisson;A2;4
a business;une entreprise;B2;9
a butter;un beurre;A2;5
a butterfly;un papillon;A2;4
a button;un bouton;A1;8
a buyer;un acheteur;B1;4
a byte;un octet;B2;6
