english;french;level;frequency;type
a daisy;une marguerite;A2;5
a dam;un barrage;B2;4
a dancer;un danseur/une danseuse;B1;6
a dart;une fléchette;B2;3
a data;des données;B1;8
a daydream;un rêve éveillé;B2;2
a deadline;une date limite;B2;7
a deal;un accord;B2;8
a debate;un débat;B2;7
a debt;une dette;B2;8
a decade;une décennie;B2;6
a decoration;une décoration;A2;7
a dedication;une dédicace;B2;3
a deer;un cerf;A2;2
a deficiency;une carence;C1;4
a definition;une définition;A2;8
a delivery;une livraison;B2;6
a democracy;une démocratie;B2;8
a demonstration;une démonstration;B1;6
a dentist;un dentiste;A2;7
a depression;une dépression;B2;5
a desert;un désert;A2;6
a design;un design;B2;7
a desire;un désir;B1;6
a desk;un bureau;A1;8
a detective;un détective;B2;4
a development;un développement;B2;7
a device;un appareil;B1;8
a devil;un diable;C1;3
a diamond;un diamant;B2;5
a dictionary;un dictionnaire;B2;10
a diet;un régime;B2;7
a difference;une différence;A2;10
a difficulty;une difficulté;A2;9
a digression;une digression;C1;3
a dilemma;un dilemme;C1;4
a dime;dix cents;B2;2
a dimension;une dimension;B2;7
a dinner;un dîner;A2;8
a dinosaur;un dinosaure;A2;5
a diploma;un diplôme;B2;5
a direction;une direction;A2;7
a director;un directeur;A2;6
a dirt;de la saleté;B1;4
a disability;un handicap;B2;5
a disaster;une catastrophe;B1;6
a discovery;une découverte;B2;5
a discussion;une discussion;A2;8
a disease;une maladie;B1;8
a dish;un plat;A2;9
a disk;un disque;B1;6
a dismissal;un renvoi;B2;4
a display;un affichage;B2;6
a distance;une distance;A2;8
a distribution;une distribution;B2;6
a district;un quartier;B1;5
a diversity;une diversité;B2;4
a division;une division;B2;6
a divorce;un divorce;B1;5
a doctor;un médecin;A2;10
a document;un document;B2;8
a dog;un chien;A1;10
a dogma;un dogme;C1;3
a doll;une poupée;A2;5
a dolphin;un dauphin;B1;2
a domain;un domaine;B2;6
a donation;un don;B2;4
a donkey;un âne;A2;3
a door;une porte;A1;10
a dose;une dose;B2;6
a dot;un point;A2;6
a doubt;un doute;B2;5
a doughnut;un beignet;A2;3
a dozen;une douzaine;A2;5
a dragon;un dragon;B1;3
a drama;un drame;B2;5
a drawer;un tiroir;A2;5
a dream;un rêve;A2;7
a dress;une robe;A1;8
a drift;une dérive;C1;2
a drill;une perceuse;B1;5
a drink;une boisson;A1;10
a drive;une conduite;B2;7
a driver;un conducteur;B1;6
a drop;une goutte;B2;5
a drug;un médicament;B2;6
a drum;un tambour;B1;4
a duck;un canard;A1;5
a due;un dû;C1;3
a duke;un duc;C2;2
a dumbbell;un haltère;B1;4
a dump;un dépotoir;B2;3
a dungeon;un donjon;C1;2
a duration;une durée;B1;5
a dust;de la poussière;A2;7
a duty;un devoir;B1;6
a dwarf;un nain;B2;3
a dynamic;un dynamique;C1;4
a dynasty;une dynastie;C1;3
