english;french;level;frequency
particular;particulier;B2;6
passionate;passionné;B2;5
pastel;pastel;B2;4
patient;patient;A2;7
patriotic;patriotique;B2;4
peaceful;paisible;B2;5
perfect;parfait;B1;8
petite;petite;A1;8
picturesque;pittoresque;B2;4
pink;rose;A2;7
plain;simple;A2;6
playful;espiègle;B1;4
pleasant;agréable;A2;7
plump;potelé;B2;3
poised;posé;C1;2
polite;poli;A2;8
popular;populaire;A2;8
positive;positif;B1;7
powerful;puissant;B2;6
practical;pratique;B1;8
precious;précieux;B2;6
premium;premium;B2;5
pretty;joli;A2;7
pricey;coûteux;B2;4
pristine;pristine;C1;2
private;privé;B1;8
productive;productif;B2;6
professional;professionnel;B2;8
profound;profond;C1;4
progressive;progressiste;B2;5
prolific;prolifique;C1;6
prompt;prompt;B2;7
proud;fier/fière;B1;8
psychedelic;psychédélique;C1;3
psychological;psychologique;B2;7
public;public/publique;B1;9
pure;pur/pure;B2;8
purple;violet/violette;A2;7
