english;french;level;frequency;type
a waffle;une gaufre;A2;5
a waist;une taille;B2;4
a waiter;un serveur;A2;6
a waitress;une serveuse;A2;6
a wake;un éveil;B2;3
a walk;une promenade;A2;8
a walker;un marcheur;B2;4
a wall;un mur;A1;10
a wallaby;un wallaby;B2;2
a wallet;un portefeuille;A2;8
a walnut;une noix;B2;4
a wand;une baguette;B2;3
a wardrobe;une garde-robe;B1;6
a warlock;un sorcier;C1;1
a warrior;un guerrier;B2;5
a wasp;une guêpe;A2;4
a waste;un gaspillage;B2;4
a watch;une montre;A2;9
a watchman;un gardien;B2;2
a water;l'eau;A1;10
a watermelon;une pastèque;A2;6
a wave;une vague;A2;8
a wavelet;une petite vague;B2;2
a wax;une cire;B2;4
a way;un chemin;A2;9
a wayfarer;un voyageur;C1;2
a weakness;une faiblesse;B2;6
a weasel;une belette;C1;2
a web;une toile;B2;6
a webbing;une sangle;C1;3
a wedding;un mariage;B1;7
a weed;une mauvaise herbe;A2;4
a week;une semaine;A1;10
a weight;un poids;A2;8
a weightlifter;un haltérophile;B2;2
a welder;un soudeur;B1;3
a well;un puits;B2;5
a werewolf;un loup-garou;C1;1
a west;un ouest;B2;4
a wetland;une zone humide;C1;2
a whale;une baleine;B2;4
a wheat;un blé;A2;5
a wheel;une roue;A2;7
a wheelbarrow;une brouette;B1;3
a wheelchair;un fauteuil roulant;B2;4
a whip;un fouet;C1;2
a whistle;un sifflet;B1;5
a whistle-blower;un lanceur d'alerte;C1;2
a whiteboard;un tableau blanc;A2;4
a widow;une veuve;B2;5
a width;une largeur;B1;5
a wife;une épouse;A2;6
a wig;une perruque;B2;3
a wildcat;un chat sauvage;C1;2
a wilderness;une région sauvage;C1;3
a will;un testament;B2;4
a willow;un saule;B2;3
a wind;un vent;A2;8
a windmill;un moulin à vent;B2;3
a window;une fenêtre;A1;10
a windowpane;une vitre;B1;5
a wine;un vin;A2;7
a wineglass;un verre à vin;B1;4
a wing;une aile;A2;6
a wingman;un équipier;C1;2
a winner;un gagnant;B1;5
a winter;un hiver;A1;8
a wire;un fil;B1;6
a wiretap;une écoute téléphonique;C1;1
a witch;une sorcière;B2;3
a witchcraft;une sorcellerie;B2;3
a witness;un témoin;B2;6
a wolf;un loup;A2;5
a woman;une femme;A1;10
a womanizer;un coureur de jupons;C1;1
a wood;un bois;A2;8
a woodpecker;un pic-vert;B2;2
a wool;une laine;A2;5
a word;un mot;A1;10
a wordplay;un jeu de mots;B2;3
a work;un travail;B2;7
a workbench;un établi;B2;3
a world;un monde;A2;10
a worry;une inquiétude;B1;6
a worrywart;un(e) angoissé(e);C1;2
a worth;une valeur;B2;5
a worthiness;une dignité;C2;1
a wound;une blessure;B1;8
a wrist;un poignet;A2;8
a wristwatch;une montre-bracelet;A2;6
a writer;un écrivain;B2;7
a wrong;un tort;B2;4
a wrongdoer;un malfaiteur;C1;2
a wunderkind;un enfant prodige;C2;3
