english;french;level;frequency;type;info
to vacate;quitter-vider;B2;6
to validate;valider;B2;5
to value;estimer-valoriser;B2;6
to vandalize;dégrader-vandaliser;C1;2
to vanish;disparaître;B2;4
to vaporize;vaporiser;C1;2
to vary;varier;B1;7
to vault;sauter-parcourir;C1;2
to veer;tourner-changer de direction;C1;3
to vegetate;végéter;C1;4
to veil;voiler;B2;3
to vend;vendre;B1;5
to venerate;vénérer;C1;2
to vent;exprimer;C1;3
to venture;s'aventurer;B2;4
to verbalize;verbaliser;C1;3
to verge;frôler;C1;2
to verify;vérifier;B1;7
to versify;versifier;C2;1
to vest;revêtir;B2;3
to veto;mettre son veto;C1;4
to vex;contrarier;C2;3
to vibrate;vibrer;B2;5
to videotape;enregistrer sur vidéo;B2;3
to vie;lutter pour;C2;2
to view;considérer;B2;6
to vilify;calomnier;C2;2
to visit;visiter;A1;8
to visualize;visualiser;B2;4
to vitalize;revitaliser;C1;2
to vitiate;altérer;C2;3
to vocalize;vocaliser;B2;4
to vogue;être en vogue;C1;2
to volunteer;se porter volontaire;B2;6
to vomit;vomir;B1;4
to vote;voter;A2;8
to vouch;garantir;C1;3
to vow;promettre solennellement;B2;4
to voyage;voyager;B1;3
to vulcanise;vulcaniser;C1;2
to vulcanize;vulcaniser;B2;3
to vulgarize;vulgariser;C1;2
