english;french;level;frequency;type
a wall;un mur;A2;8;CONCRETE
a wallet;un portefeuille;A2;6;CONCRETE
a watch;une montre;A1;8;CONCRETE
a water;une eau;A1;10;CONCRETE
a wave;une vague;A2;6;CONCRETE
a web;une toile;B1;6;CONCRETE
a week;une semaine;A1;10;CONCRETE
a weight;un poids;A2;8;CONCRETE
a wheel;une roue;A2;9;CONCRETE
a whistle;un sifflet;B1;4;CONCRETE
a whiteboard;un tableau blanc;A2;5;CONCRETE
a wig;une perruque;B1;3;CONCRETE
a wind;un vent;A2;6;CONCRETE
a window;une fenêtre;A1;10;CONCRETE
a wine;un vin;A2;8;CONCRETE
a wing;une aile;B1;6;CONCRETE
a winter;un hiver;A1;8;CONCRETE
a wire;un fil;A2;7;CONCRETE
a witch;une sorcière;A2;4;ABSTRACT
a wolf;un loup;A2;5;CONCRETE
a woman;une femme;A2;10;CONCRETE
a wood;un bois;A2;5;CONCRETE
a word;un mot;A1;10;CONCRETE
a work;un travail;A2;9;CONCRETE
a world;un monde;A2;10;CONCRETE
a worm;un ver;A2;5;CONCRETE
a wound;une blessure;B2;6;CONCRETE
a wren;un roitelet;B2;2;CONCRETE
a wrench;une clé anglaise;B2;5;CONCRETE
a wrestler;un lutteur;B2;4;CONCRETE
a wrist;un poignet;A2;6;CONCRETE
a wristwatch;une montre-bracelet;A2;7;CONCRETE
a writer;un écrivain;B2;6;ABSTRACT
a writing;une écriture;B1;5;ABSTRACT
a wryneck;une torquille;B2;1;CONCRETE
