english;french;level;frequency
ubiquitous;omniprésent;C1;7
ugly;laid;A2;8
ulterior;ulterior;C1;3
ultimate;ultime;B2;6
ultra;ultra;B2;5
unable;incapable;B2;5
unacceptable;inacceptable;B2;6
unadvised;déconseillé;C1;3
unafraid;sans peur;B2;3
unanimous;unanime;B2;5
unarmed;désarmé;B2;3
unaware;inconscient;B2;4
unbalanced;déséquilibré;B2;4
unbearable;insupportable;B2;5
unbelievable;incroyable;B2;6
unbiased;impartial;C1;6
uncommon;peu commun;B2;5
unconscious;inconscient;B2;6
uncooperative;peu coopératif;C1;4
uncouth;grossier;C1;3
uncovered;découvert;B2;4
undecided;indécis;B2;3
undeniable;indéniable;C1;5
underground;souterrain;B2;5
understated;sobre;C1;3
undesirable;indésirable;B2;5
uneven;inégal;B2;4
unfair;injuste;B2;6
unfortunate;malheureux;B2;5
unfriendly;peu amical;B2;4
ungainly;maladroit;B2;2
unhappy;malheureux;A2;7
unhealthy;malsain;B2;5
uninterested;désintéressé;B2;4
unique;unique;B2;6
unkempt;négligé;B2;4
unknown;inconnu;A2;8
unlawful;illégal;B2;5
unlucky;malchanceux;B1;6
unnatural;contre nature;B2;5
unpleasant;désagréable;B2;6
unpredictable;imprévisible;B2;5
unrealistic;irréaliste;B2;5
unreasonable;déraisonnable;B2;5
unruly;indiscipliné;C1;4
unsightly;peu esthétique;B2;3
unsure;incertain;B2;4
untidy;désordonné;B1;5
unusual;inhabituel;B1;6
