english;french;level;frequency;type;info
to vacate;quitter-vider;B2;5;ACTION;REGULAR
to validate;valider;B2;7;ACTION;REGULAR
to value;estimer-évaluer;B2;6;ACTION;REGULAR
to vanish;disparaître;C1;4;STATE;IRREGULAR
to vary;varier;B2;6;ACTION;REGULAR
to vault;sauter par-dessus;B2;3;ACTION;REGULAR
to veer;changer de direction brusquement;C1;4;ACTION;REGULAR
to vent;aérer;B2;2;ACTION;REGULAR
to venture;s'aventurer;B2;3;ACTION;REGULAR
to verify;vérifier;A2;8;ACTION;REGULAR
to veto;vetoer;C1;5;ACTION;REGULAR
to vex;agacer;B2;6;ACTION;REGULAR
to vie;lutter pour;C1;3;ACTION;REGULAR
to view;considérer;B2;7;STATE;REGULAR
to vilify;diffamer;C2;2;ACTION;REGULAR
to visit;visiter;A2;7;ACTION;REGULAR
to visualize;visualiser;B2;5;ACTION;REGULAR
to vitalize;revitaliser;C1;2;ACTION;REGULAR
to vocalize;vocaliser;B2;3;ACTION;REGULAR
to vogue;être en vogue;B2;4;STATE;IRREGULAR
to volunteer;se porter volontaire;B2;5;ACTION;REGULAR
to vomit;vomir;B2;4;ACTION;REGULAR
to vote;voter;A2;8;ACTION;REGULAR
to vouch;garantir;C1;3;STATE;REGULAR
to vow;promettre solennellement;C1;2;STATE;REGULAR
voyage;voyager;B1;3;ACTION;REGULAR
