english;french;level;frequency
Eager;Enthousiaste;B2;6
Early;Tôt;A2;7
Earnest;Sérieux;B2;4
Earthy;Terreux;C1;2
Easy;Facile;A1;10
Eccentric;Excentrique;C1;3
Eclectic;Éclectique;C1;4
Economic;Économique;B1;8
Edgy;Nerveux;C1;3
Educated;Cultivé;B2;6
Eerie;Inquiétant;B2;4
Effective;Efficace;B2;7
Effervescent;Effervescent;C1;3
Efficient;Efficace;B2;8
Elaborate;Elaboré;C1;5
Elastic;Élastique;B2;3
Elated;Enchanté;C1;2
Elderly;Âgé;B1;6
Electric;Électrique;B2;8
Elegant;Élégant;B2;7
Elemental;Élémentaire;B1;4
Elevated;Élevé;C1;3
Eligible;Éligible;B2;5
Elite;Élite;C1;6
Embarrassed;Embarrassé;B2;5
Embellished;Orné;C1;2
Embracing;Embrassant;B2;3
Eminent;Éminent;C1;4
Emotional;Émotionnel;B2;6
Empathetic;Empathique;B2;5
Empowered;habilité(e)-autonome;C1;5
Empty;vide;A2;7
Enchanting;enchant(e)-charmant(e);B2;3
Encouraging;encourageant(e);B2;5
Endearing;attachant(e)-aimable;C1;4
Endless;infini(e)-interminable;B2;4
Energetic;énergique-dynamique;B2;6
Engaging;captivant(e)-intéressant(e);B2;6
Enjoyable;agréable;B1;6
Enormous;énorme;B1;7
Enriching;Enrichissant;B2;5
Enthusiastic;Enthousiaste;B2;6
Entire;Entier;B1;4
Entitled;Intitulé;B2;3
Envious;Envieux;B2;3
Environmental;Environnemental;B2;7
Epic;Épique;C1;3
Equal;Égal;B1;6
Equipped;Équipé;B2;5
Essential;Essentiel;B1;8
