english;french;level;frequency;type
a fable;une fable;B2;4;ABSTRACT
a fabric;un tissu;A2;6;CONCRETE
a face;un visage;A2;10;CONCRETE
a factory;une usine;A2;8;CONCRETE
a failure;un échec;B2;5;ABSTRACT
a fairy;une fée;A2;3;CONCRETE
a faith;une foi;B2;5;ABSTRACT
a fall;une chute;A2;7;CONCRETE
a fame;une renommée;B2;4;ABSTRACT
a family;une famille;A1;10;CONCRETE
a fan;un ventilateur;A2;8;CONCRETE
a fanatics;un fanatique;B2;3;ABSTRACT
a fanfare;une fanfare;B2;4;CONCRETE
a fantasy;une fantaisie;B2;5;ABSTRACT
a farce;une farce;B2;6;ABSTRACT
a farmer;un agriculteur;A2;6;CONCRETE
a fashion;une mode;B2;7;ABSTRACT
a fast;un jeûne;B2;4;ABSTRACT
a fate;un destin;B2;5;ABSTRACT
a father;un père;A1;10;CONCRETE
a fatherhood;une paternité;B2;3;ABSTRACT
a faucet;un robinet;A2;8;CONCRETE
a favor;une faveur;B1;5;ABSTRACT
a fear;une peur;A2;9;ABSTRACT
a feather;une plume;A2;7;CONCRETE
a featherbed;un édredon;B2;2;CONCRETE
a feature;une caractéristique;B2;7;ABSTRACT
a federation;une fédération;B2;4;ABSTRACT
a fee;des honoraires;B2;6;CONCRETE
a feed;une alimentation;B2;5;CONCRETE
a feeling;un sentiment;B2;7;ABSTRACT
a fellowship;une bourse;B2;4;ABSTRACT
a fence;une clôture;A2;6;CONCRETE
a ferry;un ferry;A2;5;CONCRETE
a festival;un festival;A2;8;CONCRETE
a fever;une fièvre;B2;5;CONCRETE
a fiber;une fibre;B2;4;CONCRETE
a fiction;une fiction;B2;5;ABSTRACT
a field;un champ;A2;8;CONCRETE
a fight;un combat;B1;7;CONCRETE
a figure;une figure;B2;6;CONCRETE
a file;un fichier;A2;8;CONCRETE
a film;un film;A2;10;CONCRETE
a filmography;une filmographie;C1;2;ABSTRACT
a filter;un filtre;B2;5;CONCRETE
a finance;une finance;B2;7;ABSTRACT
a finger;un doigt;A1;10;CONCRETE
a fingerling;un alevin;B2;2;CONCRETE
a finish;une finition;B2;6;ABSTRACT
a fire;un feu;A2;10;CONCRETE
a fireman;un pompier;A2;7;CONCRETE
a fireplace;une cheminée;A2;6;CONCRETE
a firm;une entreprise;B2;7;ABSTRACT
a fish;un poisson;A1;10;CONCRETE
a fisherman;un pêcheur;A2;6;CONCRETE
a fist;un poing;B1;5;CONCRETE
a fit;une crise;B2;4;ABSTRACT
a fix;une réparation;B2;5;ABSTRACT
a flag;un drapeau;A2;8;CONCRETE
a flagpole;un mât de drapeau;B2;3;CONCRETE
a flame;une flamme;B2;5;CONCRETE
a flannel;une flanelle;B2;2;CONCRETE
a flash;un éclair;B2;6;CONCRETE
a flat;un appartement;A2;8;CONCRETE
a flavor;une saveur;B2;7;ABSTRACT
a flea;une puce;A2;4;CONCRETE
a fleet;une flotte;B2;5;CONCRETE
a flesh;une chair;B2;4;CONCRETE
a flight;un vol;A2;8;CONCRETE
a flock;un troupeau;B2;6;CONCRETE
a flood;une inondation;B2;5;CONCRETE
a floor;un plancher;A2;9;CONCRETE
a floorboard;une latte de plancher;B2;2;CONCRETE
a flour;une farine;A2;8;CONCRETE
a flower;une fleur;A1;10;CONCRETE
a flowerpot;un pot de fleurs;A2;6;CONCRETE
a fluctuation;une fluctuation;B2;5;ABSTRACT
a fluency;une aisance;B2;4;ABSTRACT
a fluke;un coup de chance;C1;2;ABSTRACT
a flute;une flûte;A2;5;CONCRETE
a fly;une mouche;A2;8;CONCRETE
a focus;une mise au point;B2;6;ABSTRACT
a fog;un brouillard;B1;7;CONCRETE
a fold;un pli;B2;5;CONCRETE
a foliage;un feuillage;B2;4;CONCRETE
a follower;un suiveur;B2;5;CONCRETE
a fondness;une affection;B2;4;ABSTRACT
a food;une nourriture;A2;10;CONCRETE
a fool;un imbécile;B2;3;CONCRETE
a foot;un pied;A1;10;CONCRETE
a footstep;une empreinte;B1;5;CONCRETE
a foray;une incursion;C1;3;ABSTRACT
a force;une force;B2;8;ABSTRACT
a forecast;une prévision;B2;7;ABSTRACT
a forehead;un front;B2;6;CONCRETE
a foreigner;un étranger;A2;6;CONCRETE
a forest;une forêt;A1;8;CONCRETE
a forestland;une forêt;B2;2;CONCRETE
a forgery;une contrefaçon;B2;3;ABSTRACT
a fork;une fourchette;A1;9;CONCRETE
a forkful;une fourchette pleine;A2;4;CONCRETE
a formality;une formalité;B2;6;ABSTRACT
a formation;une formation;B2;7;ABSTRACT
a formula;une formule;B2;8;ABSTRACT
a fortification;une fortification;C1;3;CONCRETE
a fortune;une fortune;B2;5;ABSTRACT
a forum;un forum;B2;6;ABSTRACT
a fossil;un fossile;B2;4;CONCRETE
a foundation;une fondation;B2;6;CONCRETE
a fridge;un réfrigérateur;A2;8;CONCRETE
a friend;un ami;A2;8;CONCRETE
a frog;une grenouille;A2;4;CONCRETE
a fruit;un fruit;A1;9;CONCRETE
