english;french;level;frequency;type
Immediately;Immédiatement;B2;8;Manner
Incessantly;Incessamment;C1;5;Manner
Inclusively;Inclusivement;B2;3;Manner
Incoherently;Incohéremment;C1;4;Manner
Inconsiderately;Inconsidérément;C1;4;Manner
Incredibly;Incrédiblement;B2;8;Manner
Incredulously;Incrédulement;C1;4;Manner
Indefinitely;Indéfiniment;B2;6;Time
Indifferently;Indifféremment;B2;7;Manner
Indignantly;Indignement;C1;5;Manner
Indirectly;Indirectement;B2;6;Manner
Individually;Individuellement;B2;5;Manner
Indomitably;Indomptablement;C2;1;Manner
Ineffectively;Inefficacement;B2;5;Manner
Inevitably;Inévitablement;B2;7;Manner
Inexplicably;Inexplicablement;C1;4;Manner
Infrequently;Rarement;B2;5;Frequency
Inherently;Intrinsèquement;C1;3;Manner
Innocently;Innocemment;B2;4;Manner
Inquisitively;Curieusement;B2;4;Manner
