english;french;level;frequency;type;info
to lament;pleurer sur;B2;3
to land;atterrir;B1;6
to last;durer;B2;6
to laud;louer;C1;2
to laugh;rire;A2;9
to lay;poser;B1;7
to lead;mener;B2;8
to lean;s'appuyer;B2;4
to leap;sauter;B2;3
to learn;apprendre;A1;10
to leave;partir;A2;9
to lend;prêter;B1;6
to let;laisser;A2;9
to level;niveler;B2;4
to liberate;libérer;B2;5
to license;licencier;C1;3
to lick;lécher;B2;3
to lie;mentir;A2;8
to lift;lever;A2;8
to light;allumer;A2;9
to like;aimer;A1;9
to limit;limiter;B2;6
to linger;s'attarder;C1;3
to listen;écouter;A2;9
to live;vivre;A1;10
to load;charger;B1;6
to loan;prêter;B2;4
to locate;localiser;B1;5
to lock;verrouiller;B1;6
to log;enregistrer;B2;4
to long;souhaiter ardemment;B2;2
to look;regarder;A1;10
to loom;se profiler;C1;3
to loosen;desserrer;B2;4
to lose;perdre;A1;10
to love;aimer;A1;10
to lower;baisser;A2;7
to lull;bercer;C1;2
to lure;attirer;C1;3
to luxuriate;se délecter;C2;2
lynch;lyncher;C2;2
