english;french;level;frequency
Magical;Magique;B2;5
Magnetic;Magnétique;B2;4
Magnificent;Magnifique;B2;5
Majestic;Majestueux;C1;3
Malicious;Malveillant;C1;2
Malleable; Malléable;C1;2
Manly;Viril;B2;3
Marvelous;Merveilleux;B2;4
Masculine;Masculin;B2;4
Mature;Mûr;B2;5
Meek;Doux/douce;B1;4
Mellow;Doux/douce;B2;5
Melodic;Mélodique;B2;4
Memorable;Mémorable;B2;5
Merciful;Miséricordieux/miséricordieuse;C1;2
Merry;Joyeux/joyeuse;B1;6
Mesmerizing;Hypnotique;C1;3
Mighty;Puissant(e);B2;4
Mild;Doux/douce;B1;5
Mind-blowing;Époustouflant(e);C1;4
Miniature;Miniature;B1;4
Miraculous;Miraculeux(se);B2;5
Mischievous;Mauvais(e);C1;3
Misleading;Trompeur(se);C1;4
Misty;Brumeux(se);B2;3
Mixed;Mélangé(e);B1;6
Modern;Moderne;A2;9
Modest;Modeste;B2;5
Moldy;Moisi(e);C1;2
Monstrous;Monstrueux(se);C1;3
Monumental;Monumental;C1;6
Moody;Lunatique;B2;5
Moral;Moral;B2;6
Motivated;Motivé;B2;5
Mouthwatering;Appétissant;B2;3
Mouthy;Bavard;C1;2
Muddy;Boueux;B2;4
Multifaceted;Multifacette;C1;3
Murky;Trouble;C1;4
Mushy;Mou;B2;3
Musical;Musical;B1;6
Musty;Moisi;C1;2
Mute;Muet;B1;5
Mutual;Mutuel;B2;5
Mysterious;Mystérieux;B2;6
Mystical;Mystique;C1;3
Mythical;Mythique;C1;4
Mythological;Mythologique;C1;4
