english;french;level;frequency
salty;salé;B2;5
sassy;impertinent;C1;3
satisfied;satisfait;B1;7
savage;sauvage;B2;4
sensitive;sensible;B1;8
shy;timide;A2;8
silly;sot;B1;6
sincere;sincère;B2;7
sleek;élégant;C1;3
sleepy;somnolent;B2;5
slimy;visqueux;B1;3
slippery;glissant;B2;5
sloppy;négligé;B2;4
smart;intelligent;B1;7
sneaky;sournois;B2;4
sociable;sociable;A2;8
sophisticated;sophistiqué;C1;4
sorrowful;affligé;C1;2
sour;acide;B1;6
strong;fort;A2;9
stubborn;têtu;B2;6
stupid;stupide;B1;7
sunny;ensoleillé;A2;5
suspicious;suspicieux;B2;4
sweet;doux;A2;8
