english;french;level;frequency;type
Immediately;Immédiatement;B2;8
Inadvertently;Involontairement;C1;4
Incessantly;Incessamment;C1;5
Incredibly;Incroyablement;B1;7
Incredulously;Incrédulement;C2;2
Indifferently;Indifféremment;B2;6
Indignantly;Indigné;C1;4
Indirectly;Indirectement;B2;7
Individually;Individuellement;B2;6
Indubitably;Indubitablement;C2;2
Ineffectively;Inefficacement;B2;5
Inevitably;Inévitablement;B2;7
Inexorably;Inexorablement;C1;4
Inexplicably;Inexplicablement;C1;4
Inferiorly;Inférieurement;C1;2
Infrequently;Rarement;B2;5
Inquisitively;Curieusement;B2;4
Insecurely;Insécurément;B2;4
Inwardly;Intérieurement;B2;5
