english;french;level;frequency
Tacky;de mauvais goût;B1;5
Tactful;plein de tact;B2;3
Tall;grand;A1;9
Tame;dompté;B2;4
Tangible;tangible;B2;6
Tart;Acide;B1;5
Tasty;Délicieux;A2;7
Taut;Tendu;C1;3
Tawdry;De mauvais goût;C2;1
Technical;Technique;B2;8
Teeming;Débordant(e);C1;4
Teetotal;Abstème;C1;2
Temperamental;Lunatique;B2;5
Tempestuous;Houleux/-euse;C1;3
Tenacious;Tenace;B2;6
Tender;Tendre;B1;6
Tense;Tendu;B2;5
Tentative;Tentatif;C1;3
Tepid;Tiède;C2;2
Terrene;Terrestre;C2;1
Terrible;Terrible;B1;6
Terrific;Formidable;B2;5
Territorial;Territorial;C1;4
Testy;Irritable;C1;3
Thankful;Reconnaissant;B2;4
Thirsty;Assoiffé(e);A2;6
Thorny;Épineux(-euse);B2;3
Thoughtful;Pensif(-ive);B1;5
Thrifty;Économe;B2;4
Thumping;Assourdissant(e);C1;2
Thunderous;Tonitruant;B2;3
Ticklish;Chatouilleux;B2;2
Tight;Serré;B1;7
Timid;Timide;A2;6
Tingly;Chatouillant;B2;4
Tiny;Minuscule;A2;6
Tired;Fatigué;B1;7
Toasty;Grillé;B2;3
Topical;Actuel;B2;5
Torpid;Engourdi;C1;2
Touchy;Susceptible;B2;4
Tough;Dur;B2;6
Tranquil;Tranquille;B2;4
Transparent;Transparent;B2;6
Tremendous;Énorme;B2;5
Tricky;Astucieux/-euse;B2;5
Triumphant;Triomphant/-e;C1;3
Trustworthy;Digne de confiance;B2;6
