english;french;level;frequency;type
Obliviously;Oblivieusement;B2;3
Obviously;Évidemment;B1;8
Offensively;Offensivement;C1;2
Often;Souvent;A2;9
Once;Une fois;A2;8
Only;Seulement;A2;9
Onward;En avant;C1;3
Otherwise;Sinon;B2;6
Out;Dehors;A2;8
Outdoors;Dehors;B1;5
Outright;Complètement;B2;5
Outrightly;Complètement;C1;1
Outwardly;Extérieurement;B2;3
Overboard;À l'eau;C1;2
Overhead;Au-dessus;B2;4
Overly;Excessivement;B2;5
Overnight;Du jour au lendemain;B2;7
Overseas;À l'étranger;B2;6
Overtime;Heures supplémentaires;B2;7
