english;french;level;frequency;type;info
to quack;caqueter;B1;3;ACTION;REGULAR
to quadruple;quadrupler;B2;4;ACTION;REGULAR
to quaff;s'enivrer;C1;2;ACTION;REGULAR
to quail;avoir peur;C2;1;STATE;REGULAR
to quake;trembler;B1;5;STATE;REGULAR
to qualify;qualifier;B2;6;ACTION;REGULAR
to quantify;quantifier;B2;5;ACTION;REGULAR
to quarantine;mettre en quarantaine;B2;4;ACTION;REGULAR
to quarrel;se disputer;B2;5;STATE;REGULAR
to quarry;extraire;B2;3;ACTION;REGULAR
to quarter;quart-er;B2;4;ACTION;REGULAR
to quash;écraser-annuler;C1;6;ACTION;REGULAR
to quaver;trembler;C2;3;STATE;REGULAR
to queer;gâcher;C2;2;ACTION;REGULAR
to quell;réprimer;C1;5;ACTION;REGULAR
to quench;étancher;B2;4;ACTION;REGULAR
to query;interroger;B2;5;ACTION;REGULAR
to quest;chercher;C1;2;ACTION;REGULAR
to question;questionner;B1;6;ACTION;REGULAR
to queue;faire la queue;A2;7;STATE;REGULAR
to quickstep;faire un quickstep;B1;3;ACTION;REGULAR
to quiet;calmer;B2;5;STATE;REGULAR
to quieten;calmer;C1;4;ACTION;REGULAR
to quill;pelerin;C2;1;STATE;REGULAR
to quilt;piquer;B2;6;ACTION;REGULAR
to quintuple;quintupler;C2;1;ACTION;REGULAR
to quip;plaisanter;B2;4;ACTION;REGULAR
to quirk;faire une grimace;C1;2;ACTION;REGULAR
to quit;quitter;A2;8;ACTION;REGULAR
to quiver;trembler;B2;5;STATE;REGULAR
to quiz;interroger;B2;4;ACTION;REGULAR
to quote;citer;B2;6;ACTION;REGULAR
