english;french;level;frequency;type
X-ray;Rayon X;B2;10;CONCRETE
Xanthophyll;Xanthophylle;C1;2;CONCRETE
Xebec;Chebec;C2;1;CONCRETE
Xenophobia;Xénophobie;B2;4;ABSTRACT
Xerarch;Xérarche;C1;1;ABSTRACT
Xeriscape;Xériscaphe;B2;2;CONCRETE
Xerography;Xérographie;B2;3;CONCRETE
Xerophyte;Xérophyte;B2;2;CONCRETE
Xerosis;Xérose;B2;2;CONCRETE
Xiphoid;Xiphoïde;B2;2;CONCRETE
Xylograph;Xylographe;C2;2;CONCRETE
Xylographer;Xylographeur;C2;1;CONCRETE
Xylography;Xylographie;C2;2;ABSTRACT
Xylophone;Xylophone;A2;8;CONCRETE
Xylophonics;Xylophonique;C2;1;ABSTRACT
Xylophonist;Xylophoniste;B2;2;CONCRETE
Xylopyrograph;Xylopyrographe;C2;1;CONCRETE
Xylopyrographer;Xylopyrographe;C2;1;CONCRETE
Xylopyrography;Xylopyrographie;C2;1;ABSTRACT
Xystus;Xyste;C2;1;CONCRETE
