english;french;level;frequency;type
Largely;En grande partie;B2;6
Lately;Récemment;B1;7
Lavishly;Somptueusement;C1;3
Lazily;Paresseusement;B2;4
Lethally;Mortellement;C2;2
Liberally;Libéralement;B2;5
Lightly;Légèrement;A2;8
Likely;Probablement;B1;9
Limpidly;Limpidement;C1;1
Lingeringly;Longuement;C1;4
Lively;Vivement;B1;5
Lividly;Livide;C1;1
Loftily;Hautainement;C2;2
Logically;Logiquement;B2;6
Longingly;Avec nostalgie;C1;3
Loud;Fort;A2;7
Loudly;Fortement;A2;8
Lovingly;Avec amour;B2;4
