english;french;level;frequency
wacky;farfelu;B2;4
waggish;facétieux;C1;2
warm;chaleureux;A2;8
wary;méfiant;B2;5
wasteful;gaspilleur;C1;3
watchful;attentif-veillant;B2;6
waterproof;imperméable;B2;5
watery;aqueux-euse;B2;4
weak;faible;B1;8
wealthy;riche;B2;6
weary;las;B2;5
wee;minuscule;A2;4
weekly;hebdomadaire;A2;7
weepy;pleurnichard;B2;2
weighty;lourd;C1;4
weird;étrange;B2;6
welcome;bienvenu;A2;7
well-groomed;soigné;B2;4
well-made;bien fait;B1;5
well-off;aisé;B2;5
well-to-do;aisé;B2;4
wet;mouillé;A2;8
whimsical;fantaisiste;C1;3
whirlwind;tourbillon;C2;5
whispering;murmurant;B2;4
white;blanc;A1;9
whole;entier;B2;7
wholesale;en gros;C1;3
whopping;énorme;C2;2
wicked;méchant;B2;5
wide;large;B1;7
wiggly;ondulé;B2;3
wild;sauvage;B1;8
willing;volontaire;B1;7
wilted;flétri;C1;2
winding;sinueux;B2;4
windy;venteux;A2;6
winged;aillé;C1;2
wiry;nerveux;C2;3
wise;sage;B1;8
wistful;mélancolique;B2;3
witty;spirituel;B2;5
wobbly;chancelant;B2;2
woeful;affligeant;C1;2
wonderful;merveilleux;B1;8
wooden;en bois;B1;6
woozy;étourdi;C1;2
wordy;verbeux;C1;3
worldly;mondain;C1;4
worn-out;usé;B2;5
worried;inquiet;B1;7
worrisome;préoccupant;C1;4
worthy;digne;B2;6
wrathful;coléreux;C2;2
wretched;misérable;B2;5
wrinkled;ridé;B2;4
written;écrit;A2;9
