english;french;level;frequency;type;info
to make;faire;A1;10;ACTION;REGULAR
to manage;gérer;B2;7;ACTION;REGULAR
to march;marcher;A2;6;ACTION;REGULAR
to mark;marquer;B1;5;ACTION;REGULAR
to marry;se marier;A2;4;STATE;REGULAR
to mash;écraser-pommes de terre;A2;5;ACTION;REGULAR
to match;correspondre;B1;6;ACTION;REGULAR
to matter;importer;A2;6;STATE;IRREGULAR
to measure;mesurer;A2;7;ACTION;REGULAR
to meddle;se mêler de;C1;2;ACTION;IRREGULAR
to mediate;médier;B2;5;ACTION;REGULAR
to meet;rencontrer;A1;10;ACTION;REGULAR
to melt;fondre;B1;6;ACTION;REGULAR
to memorize;mémoriser;B1;5;ACTION;REGULAR
to mend;réparer;B1;5;ACTION;REGULAR
to mention;mentionner;B2;7;ACTION;REGULAR
to merge;fusionner;B2;6;ACTION;REGULAR
to migrate;migrer;B2;5;ACTION;REGULAR
to milk;traire;B2;4;ACTION;REGULAR
to mine;extraire;B2;6;ACTION;REGULAR
to mislead;induire en erreur;C1;5;ACTION;REGULAR
to miss;manquer/rater;B1;7;ACTION;REGULAR
to mix;mélanger;A2;8;ACTION;REGULAR
to moan;gémir;B2;3;STATE;REGULAR
to model;modeler;B2;4;ACTION;REGULAR
to modify;modifier;B2;6;ACTION;REGULAR
to moisten;humidifier;B2;3;ACTION;REGULAR
to mold;mouler;B2;4;ACTION;REGULAR
to monitor;surveiller;B2;8;ACTION;REGULAR
to moor;amarrer;B2;5;ACTION;REGULAR
to mope;traîner les pieds;B2;4;ACTION;REGULAR
to mourn;être en deuil;B2;3;STATE;REGULAR
to move;bouger;A2;10;ACTION;REGULAR
to mow;tondre;B1;5;ACTION;REGULAR
to muffle;étouffer;C1;2;ACTION;REGULAR
to multiply;multiplier;B2;6;ACTION;REGULAR
to murder;assassiner;B2;6;ACTION;REGULAR
to mutter;murmurer;B2;4;STATE;REGULAR
to muzzle;museler;C1;3;ACTION;REGULAR
