english;french;level;frequency;type;info
to sail;naviguer;B2;3
to sanitize;assainir;C1;2
to satisfy;satisfaire;B1;6
to saturate;saturer;C1;2
to scare;effrayer;B1;6
to scold;gronder;B2;4
to scorch;brûler;B2;3
to score;marquer;B2;5
to scrape;gratter;B2;5
to scratch;gratter;B1;6
to scream;crier;B1;5
to search;chercher;A2;7
to sell;vendre;A2;9
to separate;séparer;B1;6
to serve;servir;A2;8
to settle;régler;B2;5
to sew;coudre;A2;4
to shape;façonner;B2;4
to share;partager;A2;8
to shatter;briser;C1;3
to shine;briller;B1;5
to shiver;frissonner;B2;3
to shoot;tirer;B1;6
to shout;crier;A2;6
to show;montrer;A1;10
to shrink;rétrécir;B2;2
to shrug;hausser les épaules;B2;2
to shut;fermer;A2;7
to sigh;soupirer;B2;3
to simplify;simplifier;B2;4
to sin;pécher;B2;4
to sing;chanter;A2;8
to sit;s'asseoir;A1;9
to sketch;esquisser;B2;3
to skip;sauter;B1;5
to slap;gifler;B2;3
to sleep;dormir;A1;10
to slice;trancher;B2;4
to slide;glisser;B1;6
to slip;glisser;B1;6
to smash;écraser;B2;5
to smell;sentir;A2;6
to smile;sourire;A2;7
to smoke;fumer;A2;8
to snap;claquer;B2;4
to snatch;arracher;C1;3
to sneak;se faufiler;B2;4
to sneeze;éternuer;A2;6
to sniff;renifler;B1;5
to snore;ronfler;B2;4
to snow;neiger;A2;5
to soak;tremper;B2;4
to solve;résoudre;B1;7
to sort;classer;B2;5
to sound;sonner;B1;6
to sow;semer;B2;4
to spark;étinceler;C1;3
to speak;parler;A1;10
to specify;préciser;B2;6
to spell;épeler;A2;6
to spend;dépenser;A2;7
to spill;renverser;B2;5
to spin;tourner;B2;4
to spoil;gâcher;B2;4
to spot;repérer;B2;5
to spray;pulvériser;B2;5
to spread;étaler;B2;6
to spring;sauter;B2;5
to squeeze;presser;B2;6
to stand;se tenir debout;A2;7
to stare;fixer du regard;B2;5
to start;démarrer;A2;9
to state;déclarer;B2;6
to stay;rester;A2;10
to steal;voler;B1;4
to steer;diriger;C1;3
to step;marcher;A2;8
to stimulate;stimuler;C1;4
to stir;remuer;B2;5
to stop;arrêter;A2;9
to store;stocker;B1;6
to strain;tendre;B2;4
to strengthen;renforcer;B2;6
to stress;souligner;B2;5
to stretch;étirer;B1;5
to strike;frapper;B1;6
to strive;s'efforcer;C1;3
to struggle;lutter;B2;6
to study;étudier;A1;10
to submit;soumettre;B2;6
to subscribe;s'abonner;B1;5
to subtract;soustraire;B2;3
to suck;aspirer/sucer;B2;4
to suffer;souffrir;B1;6
to suggest;suggérer;B1;7
to suit;convenir;B1;6
to summarize;résumer;B2;5
to supervise;superviser;B2;5
to supply;fournir;B1;7
to support;soutenir;B1;7
to suppose;supposer;B2;6
to surprise;surprendre;A2;7
to surround;entourer;B2;4
to survey;enquêter;B2;5
to survive;survivre;B1;6
to suspect;soupçonner;B2;5
to suspend;suspendre;B2;4
to sustain;soutenir;C1;5
to swallow;avaler;B2;5
to sway;osciller;C1;4
to swear;jurer;B2;5
to sweep;balayer;A2;4
to swim;nager;A2;6
to swing;se balancer;B2;4
to switch;changer;B1;6
to symbolize;symboliser;B2;4
to sympathize;sympathiser;B2;4
to synchronize;synchroniser;B2;4
to synthesize;synthétiser;C1;3
to systematize;systématiser;C1;2
