english;french;level;frequency;type;info
to quack;canarder;B2;3
to quackling;gazouiller;C1;1
to quadruple;quadrupler;C1;2
to quadrupling;quadrupler;C1;1
to quaff;s'enivrer;C2;2
to quaffing;s'enivrer;C2;1
to quail;avoir peur;B2;3
to quailing;avoir peur;B2;1
to quake;trembler;B1;5
to quaking;trembler;B1;2
to qualify;qualifier;B2;5
to qualifying;qualifiant;B2;3
to quantify;quantifier;C1;3
to quantifying;quantifiant;C1;2
to quarantine;mettre en quarantaine;B2;4
to quarantining;mettant en quarantaine;B2;2
to quarrel;se disputer;B2;5
to quarrelling;se disputant;B2;3
to quarry;extraire;B2;4
to quarrying;extrayant;B2;2
to quarter;quartage;B2;4
to quartering;quartage;C1;2
to quash;annuler;C2;4
to quashing;annulation;C2;2
to quaver;trembler;B2;3
to quavering;tremblant;C1;2
to queening;dame;C2;1
to queer;étrange;C1;2
to quell;réprimer;C1;4
to quelling;répression;C1;2
to quench;éteindre-étancher;B2;4
to quenching;éteignant-étanchant;B2;2
to query;interroger-questionner;B2;5
to querying;interrogeant-questionnant;B2;3
to quest;chercher-rechercher;C1;2
to question;questionner-interroger;B1;8
to questioning;questionnant-interrogeant;B1;5
to queue;faire la queue;A2;6
to queuing;faisant la queue;A2;4
to quicken;accélérer;C1;3
to quickening;accélérer;C1;2
to quickstep;danser le quickstep;B2;2
to quiet;calmer;B1;4
to quieten;calmer;B2;3
to quietening;calmant;C1;1
to quilt;quilter;B2;2
to quilting;quilter;B2;2
to quintuple;quintupler;C1;1
to quintupling;quintupler;C1;1
to quip;faire une plaisanterie;C1;3
to quipping;faire des plaisanteries;C1;3
to quirk;faire une grimace;B2;2
to quirking;faire une grimace;C1;1
to quit;quitter;A2;8
to quitting;quitter;B1;5
to quiver;trembler;B2;4
to quivering;trembler;C1;2
to quiz;interroger;B2;4
to quizzing;interroger;C1;2
