english;french;level;frequency;type
A zealot;Un zélote;C1;3;CONCRETE
A zebra;Un zèbre;A2;5;CONCRETE
A zenith;Un zénith;C1;4;CONCRETE
A zephyr;Un zéphyr;C2;2;CONCRETE
A zigzag;Un zigzag;B2;6;CONCRETE
A zillion;Un milliard;C2;1;ABSTRACT
A zipper;Une fermeture éclair;A2;8;CONCRETE
A zipperhead;Un idiot;B2;1;ABSTRACT
A zither;Une cithare;B2;2;CONCRETE
A zodiac;Un zodiaque;B2;4;ABSTRACT
A zombie;Un zombie;B2;4;CONCRETE
A zonal;Un zonal;C1;2;ABSTRACT
A zone;Une zone;B2;6;ABSTRACT
A zoo;Un zoo;A2;8;CONCRETE
A zookeeper;Un gardien de zoo;B2;3;CONCRETE
A zucchini;Une courgette;A2;6;CONCRETE
A zygote;Un zygote;C1;3;ABSTRACT
