english;french;level;frequency
Quadratic;Quadratique;C1;3
Quaint;Charmant;B2;5
Quaintish;Un peu charmant;C1;1
Qualified;Qualifié;B2;6
Quality;Qualité;A2;10
Quantitative;Quantitatif;C1;4
Quarantined;Mis en quarantaine;C1;2
Quarrelous;Querelleur;C1;2
Quarrelsome;Querelleur;C1;3
Quasi;Quasi;B2;5
Quasi-constitutional;Quasi-constitutionnel;C1;3
Quasi-empirical;Quasi-empirique;C1;2
Quasi-intellectual;Quasi-intellectuel;C1;3
Quasi-judicial;Quasi-judiciaire;C1;3
Quasi-legal;Quasi-légal;C1;4
Quasi-military;Quasi-militaire;C1;3
Quasi-philosophical;Quasi-philosophique;C1;3
Quasi-physical;Quasi-physique;C1;3
Quasi-political;Quasi-politique;C1;4
Quasi-religious;Quasi-religieux;C1;3
Quasi-romantic;Quasi-romantique;B2;4
Quasi-royal;Quasi-royal;C1;2
Quasi-scientific;Quasi-scientifique;B2;4
Quasi-social;Quasi-social;B2;4
Quasi-spiritual;Quasi-spirituel;C1;3
Quasi-technical;Quasi-technique;B2;4
Quasi-theoretical;Quasi-théorique;C1;3
Quasi-urban;Quasi-urbain;B2;4
Queenly;Reine;C1;2
Quenchless;Insatiable;C2;2
Questionable;Douteux;B2;6
Quick;Rapide;A2;9
Quiet;Calme;A2;8
Quirky;Bizarre;B2;4
Quirky-cool;Bizarrement cool;C1;2
Quivery;Tremblant;C2;1
Quixotic;Idéaliste;C1;3
Quizzical;Perplexe;C1;3
Quondam;Ancien;C2;2
Quotable;Citable;C1;4
Quotidian;Quotidien(ne);B2;6
