english;french;level;frequency;type
Kaleidoscopically;Kaleidoscopiquement;C1;2;Manner
Kamikaze;Kamikaze;C2;4;Manner
Keenly;Vivement;B2;5;Manner
Killingly;Mortellement;C1;2;Manner
Kindly;Gentiment;A2;6;Manner
Kinetically;Cinétiquement;B2;3;manner
Kinetoscopically;Cinétoscopiquement;C2;1;manner
Kingly;Royalement;B2;4;degree
Kissably;Embrassablement;C1;1;manner
Kittenishly;D'une manière de chaton;C1;2;manner
Knavishly;De manière fourbe;C1;1;Manner
Knee-deep;Jusqu'aux genoux;B2;3;Degree
Knockingly;De manière frappante;C1;1;Manner
Knottily;De manière compliquée;C2;2;Manner
Knowingly;Sciemment;B2;5;Manner
Kookily;De manière excentrique;B2;1;Manner
Kosherly;De manière casher;C1;1;Manner
