english;french;level;frequency;type
a party;une fête;A2;8;CONCRETE
a passion;une passion;B2;6;ABSTRACT
a pattern;un motif;B1;5;CONCRETE
a person;une personne;A1;10;CONCRETE
a phenomenon;un phénomène;B2;7;CONCRETE
a philosophy;une philosophie;C1;5;ABSTRACT
a photo;une photo;A2;8;CONCRETE
a physics;une physique;B2;4;ABSTRACT
a piano;un piano;A2;6;CONCRETE
a picture;une image;A1;10;CONCRETE
a pilot;un pilote;B2;6;CONCRETE
a place;un endroit;A2;8;CONCRETE
a planet;une planète;A2;4;CONCRETE
a plant;une plante;A2;7;CONCRETE
a plate;une assiette;A1;9;CONCRETE
a player;un joueur;B1;8;CONCRETE
a poem;un poème;B2;5;ABSTRACT
a poet;un poète;B2;4;CONCRETE
a point;un point;A1;10;CONCRETE
a police;une police;A2;6;ABSTRACT
a policy;une politique;B2;7;ABSTRACT
a politics;une politique;B2;7;ABSTRACT
a pool;une piscine;A2;6;CONCRETE
a population;une population;B1;8;ABSTRACT
a port;un port;B1;6;CONCRETE
a position;une position;B2;8;CONCRETE
a possibility;une possibilité;B1;6;ABSTRACT
a post;un poste;B1;7;CONCRETE
a poster;une affiche;A2;4;CONCRETE
a potential;un potentiel;B2;6;ABSTRACT
a pound;une livre;A2;7;CONCRETE
a power;un pouvoir;B2;6;ABSTRACT
a practice;une pratique;B2;8;ABSTRACT
a prayer;une prière;A2;5;ABSTRACT
a presence;une présence;B2;7;ABSTRACT
a presentation;une présentation;B2;6;ABSTRACT
a president;un président;B2;6;CONCRETE
a pressure;une pression;B2;7;CONCRETE
a price;un prix;A2;10;CONCRETE
a pride;une fierté;B2;4;ABSTRACT
a primary;un primaire;A2;7;CONCRETE
a prince;un prince;A2;6;CONCRETE
a principle;un principe;B2;7;ABSTRACT
a print;une impression;B1;6;CONCRETE
a priority;une priorité;B1;8;ABSTRACT
a prison;une prison;B2;6;CONCRETE
a privacy;une intimité;B2;4;ABSTRACT
a prize;un prix;B1;8;CONCRETE
a problem;un problème;A2;10;ABSTRACT
a procedure;une procédure;B2;5;ABSTRACT
a process;un processus;B2;7;ABSTRACT
a product;un produit;A2;9;CONCRETE
a profession;une profession;B1;6;ABSTRACT
a professor;un professeur;A2;8;CONCRETE
a program;un programme;A2;10;ABSTRACT
a progress;un progrès;B2;6;ABSTRACT
a project;un projet;A2;8;ABSTRACT
a promise;une promesse;B1;5;ABSTRACT
a promotion;une promotion;B2;6;ABSTRACT
a proof;une preuve;B1;7;CONCRETE
a property;une propriété;B2;7;CONCRETE
a proposal;une proposition;B2;8;ABSTRACT
a prospect;une perspective;B2;6;ABSTRACT
a protection;une protection;B2;8;CONCRETE
a protein;une protéine;B2;7;CONCRETE
a protest;une protestation;B2;6;CONCRETE
a protocol;un protocole;B2;5;CONCRETE
a provider;un fournisseur;B2;5;CONCRETE
a psychology;une psychologie;B2;4;ABSTRACT
a public;un public;B1;8;CONCRETE
a publication;une publication;B2;6;CONCRETE
a publisher;un éditeur;B2;5;CONCRETE
a pulse;une impulsion;B2;4;CONCRETE
a pump;une pompe;B1;6;CONCRETE
a purchase;un achat;A2;8;CONCRETE
a purpose;un but;B2;7;ABSTRACT
a puzzle;un puzzle;B2;5;CONCRETE
