english;french;level;frequency
Narrow;Étroit;B1;6
Nascent;Naissant;C1;2
Nasty;Méchant;B2;5
Natural;Naturel;A1;10
Naughty;Mauvais;B1;4
Nautical;Nautique;B2;4
Near;Proche;A2;8
Neat;Soigné;B1;6
Necessary;Nécessaire;B1;9
Needy;Dans le besoin;B2;3
Negative;Négatif;B2;8
Neglected;Négligé;B2;4
Nepotistic;Népotique;C1;2
Nervous;Nerveux;A2;9
Nervy;Nerveux;B2;5
Nescient;Ignorant;C1;2
New;Nouveau;A1;10
Nice;Agréable;A2;9
Nifty;Astucieux;C1;4
Nihilistic;Nihiliste;C1;3
Nimble;Agile;B1;6
Nimble-footed;Agile à pied;B2;3
Nippy;Vif;B2;4
Nitpicking;Pointilleux;C1;2
Noble;Noble;B2;5
Nocturnal;Nocturne;B2;5
Noiseless;Silencieux;C1;2
Noisy;Bruyant;B1;6
Nonchalant;Nonchalant;C1;3
Noncommittal;Évasif;C1;2
Noncompetitive;Non compétitif;B2;3
Nondescript;Indescriptible;C1;2
Nonjudgmental;Non jugeant;C1;2
Nonpartisan;Non partisan;B2;3
Nonsensical;Insensé;C1;2
Nonstop;Sans arrêt;B2;6
Nonverbal;Non verbal;B2;3
Normal;Normal;A2;10
Nostalgic;Nostalgique;B2;4
Notable;Remarquable;B2;5
Noteworthy;Remarquable;C1;5
Nourishing;Nutritif;B2;4
Novel;Nouveau;B1;6
Nubile;Nubile;C1;2
Nuclear;Nucléaire;B2;8
Numb;Engourdi;B2;5
Numerous;Nombreux;B2;7
Nurtured;Nourri;C1;3
Nurturing;Nourrissant;C1;4
Nutritious;Nutritif;B2;6
