english;french;level;frequency;type
Vacation;Vacances;A2;7;CONCRETE
Valley;Vallée;A2;6;CONCRETE
Vampire;Vampire;B2;3;ABSTRACT
Vanilla;Vanille;B2;5;CONCRETE
Vanity;Vanité;C1;4;ABSTRACT
Vase;Vase;A2;5;CONCRETE
Vegetable;Légume;A2;8;CONCRETE
Vehicle;Véhicule;A2;9;CONCRETE
Veil;Voile;B2;4;CONCRETE
Vein;Veine;B2;3;CONCRETE
Velvet;Velours;B2;5;CONCRETE
Vendetta;Vendetta;C1;3;ABSTRACT
Venue;Lieu;B2;6;CONCRETE
Verb;Verbe;A2;8;ABSTRACT
Verdict;Verdict;B2;4;ABSTRACT
Verdure;Verdure;B1;3;CONCRETE
Vermicelli;Vermicelles;A2;4;CONCRETE
Verse;Verser;B1;5;ABSTRACT
Version;Version;B2;8;ABSTRACT
Vertex;Sommet;C1;2;CONCRETE
Vessel;Navire;B2;6;CONCRETE
Vest;Gilet;A2;5;CONCRETE
Veteran;Vétéran;B2;4;CONCRETE
Veto;Veto;B2;3;ABSTRACT
Viaduct;Viaduc;B2;2;CONCRETE
Vibrancy;Vivacité;C1;3;ABSTRACT
Vibrato;Vibrato;B2;4;CONCRETE
Vice;Vice;B2;6;ABSTRACT
Victim;Victime;B2;8;CONCRETE
Victory;Victoire;B1;9;ABSTRACT
Video;Vidéo;B1;9;CONCRETE
View;Vue;B2;8;CONCRETE
Villa;Villa;B2;5;CONCRETE
Village;Village;A2;7;CONCRETE
Vine;Vigne;B2;4;CONCRETE
Vinegar;Vinaigre;A2;6;CONCRETE
Vintage;Vintage;B2;5;ABSTRACT
Violation;Violation;C1;4;ABSTRACT
Violence;Violence;B2;7;ABSTRACT
Violet;Violet;B2;6;CONCRETE
Violin;Violon;B1;5;CONCRETE
Virility;Virilité;C1;2;ABSTRACT
Virtue;Vertu;B2;4;ABSTRACT
Virus;Virus;B2;8;CONCRETE
Visa;Visa;A2;7;CONCRETE
Vision;Vision;B2;6;ABSTRACT
Visit;Visite;A2;7;CONCRETE
Visitor;Visiteur/Visiteuse;B1;4;CONCRETE
Visual;Visuel/Visuelle;B2;6;ABSTRACT
Vitality;Vitalité;B2;3;ABSTRACT
Vitamin;Vitamine;B2;8;CONCRETE
Vocation;Vocation;B2;5;ABSTRACT
Voice;Voix;A2;9;CONCRETE
Void;Vide;C1;3;ABSTRACT
Volcano;Volcan;B2;4;CONCRETE
Volleyball;Volley-ball;A2;6;CONCRETE
Volume;Volume;B2;5;ABSTRACT
Volunteer;Bénévole;B2;4;CONCRETE
Vote;Vote;B2;6;ABSTRACT
Voter;Voter;B2;5;CONCRETE
Voyage;Voyage;B1;5;ABSTRACT
Vulture;Vautour;B2;2;CONCRETE
