english;french;level;frequency;type
Garrulously;Loquacement;C1;2
Generally;Généralement;A2;8
Generously;Généreusement;B2;6
Gently;Douceument;A2;8
Ghoulishly;Macabrement;C1;1
Giddily;Follement;B2;2
Gladly;Joyeusement;B1;5
Gloriously;Glorieusement;C1;3
Gracefully;Gracieusement;B2;4
Gradually;Progressivement;B1;7
Gratefully;Reconnaissant-ment;B2;4
Greatly;Grandement;B2;6
Gregariously;Sociable-ment;C1;2
Grimly;Sombre-ment;C1;3
Grudgingly;À contrecoeur;C1;4
Gruffly;Brusquement;C2;3
Guiltily;Coupable-ment;C1;3
Gushingly;Élogieusement;C2;2
