english;french;level;frequency;type
Rapidly;Rapidement;B2;8
Rarely;Rarement;B1;6
Rather;Plutôt;B2;7
Readily;Facilement;B2;4
Really;Vraiment;A2;10
Reasonably;Raisonnablement;B2;5
Recently;Récemment;A2;8
Regularly;Régulièrement;B1;7
Reluctantly;À contrecoeur;C1;4
Repeatedly;À plusieurs reprises;B2;6
Rightfully;à juste titre;B2;4
Rigorously;rigoureusement;C1;5
Roughly;grossièrement;B1;6
Royally;royalement;C1;3
Rudely;grossièrement;B2;5
Ruefully;tristement;C1;2
Ruggedly;robustement;C1;3
Ruthlessly;impitoyablement;C1;4
