english;french;level;frequency;type;info
to jab;donner un coup de poing;B2;4
to jack;lever;B2;4
to jade;fatiguer;C1;2
to jail;emprisonner;C1;3
to jam;bloquer;B2;5
to jangle;faire du bruit;C1;1
to jar;choquer;C1;2
to jazz;jouer du jazz;C1;2
to jeer;railler;C1;2
to jell;prendre forme;C2;1
to jeopardize;mettre en danger;C1;6
to jerk;secouer;B2;4
to jest;plaisanter;B2;3
to jettison;jeter;C1;3
to jibe;se moquer;C2;2
to jig;danser;B2;2
to jingle;tintinnabuler;C2;2
to jinx;porter malheur;C1;2
to jive;parler argot;B2;2
to jockey;manipuler;C1;3
to jog;jogger;A2;6
to jog-trot;trotter;B2;2
to join;joindre;A2;8
to jolt;secouer;B2;4
to jostle;bousculer;C1;3
to joust;jouter;C2;1
to judge;juger;B2;8
to juggle;jongler;B2;4
to jumble;désordre;C1;2
to jump;sauter;A1;10
to jump-start;démarrer en trombe;C1;4
to justify;justifier;B2;7
to jut;dépasser;C1;3
to juxtapose;juxtaposer;C1;4
