english;french;level;frequency
Xanthic;Xanthique;C2;2
Xanthochroid;Xanthochroïde;C2;1
Xanthocomic;Xanthocomique;C2;1
Xanthocyanic;Xanthocyanique;C2;1
Xanthodermic;Xanthodermique;C2;1
Xanthomatous;Xanthomateux;C2;1
Xanthophyllous;Xanthophylleux;C2;1
Xanthopous;Xanthopode;C2;1
Xanthous;Xanthique;C2;3
Xenial;Xénial;C2;3
Xenodochial;Xénophile;C1;2
Xenogenic;Xénogène;C2;1
Xenolithic;Xénolithique;C2;1
Xenomorphic;Xénomorphe;C2;1
Xenophobic;Xénophobe;B2;4
Xeric;Xérique;C2;2
Xerographic;Xérographique;C2;1
Xerophilous;Xérophile;C2;1
Xiphoid;Xiphoïde;C2;1
Xylographic;Xylographique;C2;1
Xylographical;Xylographique;C2;2
Xyloid;Xyloïde;C2;3
Xyloidin;Xylodine;C2;1
Xylonic;Xylonique;C2;1
Xylophagous;Xylophage;C2;2
Xylophilous;Xylophile;C2;1
Xylophone;Xylophone;B2;7
Xylopyrographical;Xylopyrographique;C2;1
Xylopyrography;Xylopyrographie;C2;1
Xyloquinone;Xyloquinone;C2;1
Xylotomous;Xylotome;C2;1
Xyresic;Xyresique;C2;1
