english;french;level;frequency;type
Warily;Prudemment;B2;4;Manner
Warmly;Chaleureusement;B2;5;Manner
Wastefully;Gaspilleusement;C1;2;Manner
Weekly;Hebdomadairement;A2;7;Frequency
Well;Bien;A2;10;Degree
Wetly;Mouilléement;B1;2;manner
Wholly;Entièrement;B2;5;degree
Wildly;Follement;B2;4;manner
Willfully;Volontairement;C1;3;manner
Willingly;Volontiers;B1;6;manner
Wistfully;Mélancoliquement;B2;3;Manner
Wonderfully;Merveilleusement;B2;5;Manner
Worriedly;Inquiètement;B2;2;Manner
Wrongly;Faussement;B2;4;Degree
