english;french;level;frequency;type
Unabashedly;Sans gêne;C1;3
Unaccountably;Inexplicablement;C1;2
Unarguably;Indéniablement;C1;4
Unbearably;Insupportablement;B2;5
Unbelievably;Inimaginablement;B2;5
Unconditionally;Inconditionnellement;C1;4
Undeniably;Indéniablement;C1;5
Underground;Souterrainement;B2;4
Underneath;Sous;B1;5
Unexpectedly;Inopinément;B2;6
Unfailingly;Infailliblement;C1;4
Unfortunately;Malheureusement;B2;8
Unhappily;Malheureusement;B2;4
Uniquely;Uniquement;B2;4
Universally;Universellement;C1;5
Unknowingly;Inconsciemment;C1;3
Unquestionably;Indubitablement;C1;4
Unwittingly;À son insu;C1;3
Upstairs;En haut;A2;5
Usually;Généralement;A2;9
