english;french;level;frequency;type;info
to obey;obéir;B1;6
to oblige;obliger;B2;5
to observe;observer;B1;6
to obstruct;obstruer;C2;2
to obtain;obtenir;A2;8
to occupy;occuper;B1;7
to occur;se produire;B2;5
to offer;offrir;A2;8
to officiate;officier;C1;3
to offset;compenser;C1;4
to omit;omettre;B2;5
to ooze;suinter;C1;2
to open;ouvrir;A1;9
to operate;opérer;B2;7
to opine;donner son avis;C1;3
to oppose;s'opposer;B2;6
to opt;opter;B2;4
to optimize;optimiser;B2;5
to orchestrate;orchestrer;C1;3
to ordain;ordonner;C2;2
to order;ordonner;B2;6
to organize;organiser;B1;7
to orient;orienter;B2;5
to originate;provenir de;C1;3
to ornament;orner;C1;2
to oscillate;osciller;C1;3
to osculate;s'embrasser;C2;1
to ossify;ossifier;C2;2
to oust;évincer;C1;4
to outdo;surpasser;C1;5
to outfit;équiper;B2;4
to outgrow;dépasser;B2;3
to outlast;durer plus longtemps que;C1;2
to outline;décrire brièvement;B2;5
to outmaneuver;manoeuvrer plus habilement que;C1;1
to outnumber;être plus nombreux que;B2;4
to outrage;indigner;C1;3
to outshine;éclipser;C1;3
to outsmart;être plus malin que;C1;2
to outsource;externaliser;B2;5
to outstrip;dépasser;C1;4
to outweigh;être plus important que;C1;3
to overcome;surmonter;B2;6
to overdo;exagérer;B2;4
to overestimate;surestimer;B2;5
to overhaul;réviser complètement;C1;3
to overlap;chevaucher;B2;4
to overpay;payer trop cher;C1;2
to overpower;dominer;C1;3
to oversee;superviser;C1;5
to overtake;dépasser;B2;5
to overthrow;renverser;C1;4
to overwhelm;submerger;C1;5
