english;french;level;frequency;type;info
to hail;saluer;B2;3;ACTION;REGULAR
to halt;arrêter;B2;5;ACTION;REGULAR
to hammer;marteler;B2;4;ACTION;REGULAR
to hand;remettre;B1;6;ACTION;REGULAR
to handle;manipuler;B2;7;ACTION;REGULAR
to hang;accrocher;B2;5;ACTION;REGULAR
to happen;arriver;A2;8;STATE;REGULAR
to harass;harceler;B2;3;ACTION;REGULAR
to harbor;abriter;B2;4;STATE;REGULAR
to hardcode;coder en dur;C1;2;ACTION;REGULAR
to harden;durcir;B2;5;ACTION;REGULAR
to harm;nuire;B2;4;ACTION;REGULAR
to harmonize;harmoniser;B2;3;ACTION;REGULAR
to harvest;récolter;B2;5;ACTION;REGULAR
to hatch;éclore;B2;5;ACTION;REGULAR
to hate;détester;B2;7;ACTION;REGULAR
to haul;transporter;B2;4;ACTION;REGULAR
to haunt;hanter;B2;5;STATE;REGULAR
to have;avoir;A1;10;STATE;IRREGULAR
to heal;guérir;B2;6;ACTION;REGULAR
to heap;empiler;B2;3;ACTION;REGULAR
to hear;entendre;A2;10;STATE;IRREGULAR
to heat;chauffer;B1;6;ACTION;REGULAR
to heave;soulever;C2;2;ACTION;IRREGULAR
to help;aider;A2;10;ACTION;REGULAR
to hem;faire un ourlet;B1;3;ACTION;REGULAR
to herald;annoncer;C1;4;ACTION;REGULAR
to hesitate;hésiter;B2;5;STATE;REGULAR
to hide;cacher;A2;8;ACTION;IRREGULAR
to highlight;surligner;B2;6;ACTION;REGULAR
to hijack;détourner un avion;C2;3;ACTION;REGULAR
to hike;faire de la randonnée;A2;5;ACTION;REGULAR
to hinder;gêner;B2;6;ACTION;REGULAR
to hint;suggérer;B2;4;ACTION;REGULAR
to hire;embaucher;A2;7;ACTION;REGULAR
to hit;frapper;B1;8;ACTION;REGULAR
to hoard;amasser-stocker;C1;5;STATE;REGULAR
to hobble;boiter;B2;3;ACTION;REGULAR
to holler;crier-hurler;C1;4;ACTION;REGULAR
to hone;affûter;C2;6;ACTION;REGULAR
to hook;accrocher;B1;5;ACTION;REGULAR
to hop;sauter à cloche-pied;A2;3;ACTION;REGULAR
to hope;espérer;A2;7;STATE;REGULAR
to horrify;horripiler;C1;2;ACTION;REGULAR
to hose;arroser;B2;4;ACTION;REGULAR
to host;recevoir-à la maison;B2;6;ACTION;REGULAR
to hound;harceler;C1;4;ACTION;REGULAR
to howl;hurler;B2;3;STATE;REGULAR
to huddle;se blottir;B2;2;STATE;REGULAR
