english;french;level;frequency
bald;chauve;B2;5
bare;nu;B2;3
barren;stérile;C1;2
beautiful;beau/belle;A2;10
beige;beige;B2;4
belligerent;belliqueux;C1;2
big;grand;A1;10
bitter;amer;B2;6
bizarre;bizarre;B2;6
black;noir;A1;10
blaring;assourdissant;B2;4
blissful;heureux-se;B2;2
blue;bleu-e;A1;8
blunt;émoussé-e;B2;3
blushing;rougissant-e;B2;2
bold;audacieux-se;B2;6
brackish;saumâtre;C1;1
brassy;effronté-e;C1;2
brave;courageux-se;A2;7
breezy;venteux-se;B2;3
bright;brillant;B1;7
brisk;vif;B2;5
broad;large;B1;6
broken;cassé;B2;4
brown;marron;A1;8
bumpy;bosselé;B2;3
burly;costaud;C1;2
bushy;broussailleux;B2;4
busy;occupé;A2;9
buttery;beurré;C2;1
buzzing;bourdonnant;B2;5
