english;french;level;frequency;type
badly;mal;B2;7
barely;à peine;B2;6
beautifully;magnifiquement;B2;5
beforehand;à l'avance;B2;5
begrudgingly;à contrecoeur;C1;2
belatedly;tardivement;C1;3
benevolently;bienveillamment;C2;2
better;mieux;A2;10
between;entre;A1;10
bewilderedly;perplexe;C1;2
bitterly;amèrement;B2;5
blatantly;de manière éhontée;C1;3
bleakly;tristement;C1;2
blindly;aveuglément;B2;4
blissfully;heureusement;C1;3
boastfully;avec vantardise;C1;2
boldly;hardiment;B2;5
boringly;ennuyeusement;B2;6
bravely;courageusement;B1;6
