english;french;level;frequency
Dapper;Élégant;B2;4
Daring;Audacieux;B2;5
Dark;Sombre;A2;8
Dazzled;Ébloui;B2;2
Dazzling;Éblouissant;B2;4
Dead;Mort;A2;9
Deadly;Mortel;B2;5
Deafening;Assourdissant;C1;3
Dear;Cher;A2;7
Dearest;Très cher;B2;3
Debonair;élégant;C1;3
Decadent;décadent;C1;4
Decent;décent;B2;6
Decisive;décisif;B2;7
Dedicated;dévoué;B2;5
Deep;profond;A2;9
Defeated;vaincu;B2;3
Defensive;défensif;B2;5
Defiant;défiant;C1;4
Deficient;déficient;C1;2
Definite;Définitif;B2;7
Deft;Adroit;C1;4
Deliberate;Délibéré;B2;6
Delicate;Délicat;B2;6
Delicious;Délicieux;A2;8
Delightful;Délicieux;B1;6
Delirious;Déraisonnable;C1;3
Demanding;Exigeant;B2;6
Demonic;Démoniaque;C1;3
Dependent;Dépendant;B1;7
Depressed;Déprimé(e);B2;6
Deranged;Déraisonnable;C2;2
Deserted;Désert(e);B1;5
Desirable;Souhaitable;B2;6
Desolate;Désolé(e);C1;3
Desperate;Désespéré(e);B2;6
Determined;Déterminé(e);B2;7
Devilish;Diabolique;C1;2
Devoted;Dévoué(e);B2;6
Dewy;Rosé(e);B2;3
Dexterous;Adroit;C1;5
Diabolical;Diabolique;C1;3
Different;Différent;A2;10
Difficult;Difficile;A2;10
Digital;Numérique;B1;8
Diligent;Diligent;B2;5
Dim;Faible;B2;4
Dimpled;Crevassé;C2;1
Diplomatic;Diplomatique;B2;6
Direct;Direct;B2;8
Dirty;Sale;A2;8
Disagreeable;Déplaisant;B2;5
Disastrous;Désastreux;B2;6
Discerning;Perspicace;C1;3
Discreet;Discret;B2;6
Diseased;Malade;B2;3
Disgusted;Dégoûté;B2;4
Disgusting;Dégoûtant;B2;6
