english;french;level;frequency;type
Obediently;Obéissamment;B2;4;manner
Obviously;Évidemment;B1;9;degree
Oddly;Étrangement;B2;5;manner
Offensively;Offensivement;C1;3;manner
Officially;Officiellement;B2;8;manner
Offstage;Hors scène;B2;3;Manner
Often;Souvent;A2;9;Frequency
Once;Une fois;A2;8;Frequency
Only;Seulement;A2;9;Degree
Onwards;En avant;B2;4;Direction
Ostensibly;Apparemment;C1;5;Manner
Otherwise;Sinon;B2;7;Manner
Out;Dehors;A1;9;Place
Outdoors;Dehors;A2;6;Place
Outright;Complètement;C1;4;Manner
Outward;Vers l'extérieur;B2;5;Manner
Outwardly;Extérieurement;B2;4;Manner
Overall;Dans l'ensemble;B2;6;Degree
Overboard;À la mer;C1;2;Place
Overly;Excessivement;B2;6;Degree
