english;french;level;frequency;type;info
to nag;harceler;B2;4
to nail;clouer;B2;5
to name;nommer;B1;6
to nap;faire la sieste;A2;3
to narrate;narrer;C1;2
to narrow;rétrécir;B2;4
to navigate;naviguer;B2;5
to necessitate;nécessiter;C1;3
to need;avoir besoin de;A2;10
to negate;négativiser;C2;2
to neglect;négliger;B2;5
to negotiate;négocier;B2;6
to nest;nicher;B2;3
to nestle;se blottir;B2;3
to neutralize;neutraliser;B2;5
to nibble;grignoter;B2;3
to nick;entailler;B2;3
to nicker;hennir;B2;2
to niggle;chipoter;C1;2
to nip;pincer;B2;3
to nod;incliner la tête;B1;5
to nominate;nommer;B2;4
to normalize;normaliser;B2;5
to nose;renifler;B2;2
to notarize;authentifier;C1;2
to note;noter;A2;7
to notice;remarquer;A2;8
to notify;avertir;B2;6
to nourish;nourrir;B2;5
to novelize;romancer;C1;1
to nudge;pousser du coude;B2;5
to nullify;annuler;C1;3
to numb;engourdir;B2;4
to number;numéroter;B2;3
to nurse;soigner;B2;5
to nurture;nourrir;C1;4
to nut;coquilleter;C2;1
to nuzzle;se frotter;C1;2
